Box name: 4
Data source: Thuenen Institute of Sea Fisheries (TI-SF)
Data Contact: Boris Cisewski (boris.cisewski@thuenen.de)
Comment / note: German IBTS CTD data
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    2.000,    7.967, 1,   34.973, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    3.000,    7.967, 1,   34.972, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    4.000,    7.967, 1,   34.973, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    5.000,    7.969, 1,   34.974, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    6.000,    7.970, 1,   34.975, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    7.000,    7.966, 1,   34.975, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    8.000,    7.974, 1,   34.976, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,    9.000,    7.980, 1,   34.977, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   10.000,    7.981, 1,   34.978, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   11.000,    7.981, 1,   34.978, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   12.000,    7.978, 1,   34.976, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   13.000,    7.980, 1,   34.980, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   14.000,    7.981, 1,   34.980, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   15.000,    7.979, 1,   34.978, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   16.000,    7.983, 1,   34.982, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   17.000,    7.982, 1,   34.982, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   18.000,    7.981, 1,   34.980, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   19.000,    7.979, 1,   34.977, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   20.000,    7.981, 1,   34.979, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   21.000,    7.982, 1,   34.979, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   22.000,    7.982, 1,   34.980, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   23.000,    7.982, 1,   34.980, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   24.000,    7.984, 1,   34.986, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   25.000,    7.984, 1,   34.988, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   26.000,    7.985, 1,   34.989, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   27.000,    7.985, 1,   34.990, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   28.000,    7.985, 1,   34.990, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   29.000,    7.985, 1,   34.990, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   30.000,    7.987, 1,   34.993, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   31.000,    7.987, 1,   34.994, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   32.000,    7.988, 1,   34.994, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   33.000,    7.991, 1,   34.997, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   34.000,    7.993, 1,   34.999, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   35.000,    7.993, 1,   34.999, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   36.000,    7.993, 1,   34.999, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   37.000,    7.993, 1,   34.999, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   38.000,    7.995, 1,   35.000, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   39.000,    7.996, 1,   35.001, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   40.000,    7.997, 1,   35.002, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   41.000,    7.998, 1,   35.002, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   42.000,    7.999, 1,   35.002, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   43.000,    7.998, 1,   35.002, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   44.000,    7.998, 1,   35.002, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   45.000,    8.000, 1,   35.003, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   46.000,    8.002, 1,   35.003, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   47.000,    8.003, 1,   35.003, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   48.000,    8.003, 1,   35.003, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   49.000,    8.003, 1,   35.003, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   50.000,    8.006, 1,   35.004, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   51.000,    8.007, 1,   35.005, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   52.000,    8.010, 1,   35.005, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   53.000,    8.009, 1,   35.006, 1
DA,   724,   61, 2024,  2,  7, 13, 35,  58.8635,  -1.1267,  120,   54.000,    8.009, 1,   35.006, 1
