Box name: 14
Data source: Thuenen Institute of Sea Fisheries (TI-SF)
Data Contact: Boris Cisewski (boris.cisewski@thuenen.de)
Comment / note: German IBTS CTD data
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    2.000,    6.624, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    3.000,    6.624, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    4.000,    6.623, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    5.000,    6.623, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    6.000,    6.624, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    7.000,    6.624, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    8.000,    6.623, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,    9.000,    6.624, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   10.000,    6.624, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   11.000,    6.622, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   12.000,    6.627, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   13.000,    6.628, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   14.000,    6.628, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   15.000,    6.626, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   16.000,    6.625, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   17.000,    6.626, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   18.000,    6.628, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   19.000,    6.626, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   20.000,    6.624, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   21.000,    6.621, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   22.000,    6.621, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   23.000,    6.617, 1,   34.883, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   24.000,    6.614, 1,   34.882, 1
DA,   724,  105, 2024,  2, 12, 16, 14,  55.8962,   4.2757,   50,   25.000,    6.612, 1,   34.882, 1
