Box name: 16
Data source: Thuenen Institute of Sea Fisheries (TI-SF)
Data Contact: Boris Cisewski (boris.cisewski@thuenen.de)
Comment / note: German IBTS CTD data
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    1.000,    4.836, 1,   28.353, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    2.000,    4.836, 1,   28.353, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    3.000,    4.836, 1,   28.353, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    4.000,    4.837, 1,   28.352, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    5.000,    4.836, 1,   28.353, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    6.000,    4.836, 1,   28.353, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    7.000,    4.839, 1,   28.357, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    8.000,    4.840, 1,   28.368, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,    9.000,    4.839, 1,   28.373, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,   10.000,    4.839, 1,   28.369, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,   11.000,    4.838, 1,   28.366, 1
DA,   724,    9, 2024,  2,  2,  6, 10,  54.9652,   8.1073,   16,   12.000,    4.843, 1,   28.388, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    2.000,    5.059, 1,   29.372, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    3.000,    5.060, 1,   29.372, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    4.000,    5.060, 1,   29.372, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    5.000,    5.059, 1,   29.372, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    6.000,    5.059, 1,   29.373, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    7.000,    5.061, 1,   29.374, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    8.000,    5.060, 1,   29.374, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,    9.000,    5.060, 1,   29.374, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,   10.000,    5.059, 1,   29.375, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,   11.000,    5.060, 1,   29.381, 1
DA,   724,   11, 2024,  2,  2,  9,  7,  55.0172,   8.0322,   17,   12.000,    5.059, 1,   29.377, 1
