Station Description:,Malin Head Weather Station
Region:,Celtic Seas
Latitude:,55.37 N
Longitude:,7.34 W
Measurement Depth/Range:,Surface
Sampling Frequency:,Sensors: half hourly; Timeseries: daily at noon
Notes:,SBE39 sensors- diurnally smoothed and daily averaged data
Data Source:,Marine Institute
Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie)
Location of source datasets:,Marine Institute
Data Protection:,Include on ICES website for free distribution. 
Decimal Year,Temperature Â°C
2008.878415,10.895
2008.881148,10.915
2008.88388,10.698
2008.886612,10.42
2008.889344,10.457
2008.892077,10.72
2008.894809,10.823
2008.897541,10.783
2008.900273,10.424
2008.903005,10.214
2008.905738,10.215
2008.90847,10.205
2008.911202,10.242
2008.913934,10.432
2008.916667,10.004
2008.919399,9.531
2008.922131,9.589
2008.924863,9.599
2008.927596,9.436
2008.930328,9.335
2008.93306,8.871
2008.935792,8.744
2008.938525,9.081
2008.941257,8.682
2008.943989,8.62
2008.946721,8.825
2008.949454,8.857
2008.952186,8.886
2008.954918,8.745
2008.95765,8.823
2008.960383,8.876
2008.963115,8.761
2008.965847,8.568
2008.968579,8.832
2008.971311,8.805
2008.974044,8.656
2008.976776,8.567
2008.979508,8.735
2008.98224,9.038
2008.984973,9.124
2008.987705,9.008
2008.990437,9.1
2008.993169,9.037
2008.995902,8.773
2008.998634,8.523
2009.00137,8.307
2009.00411,8.138
2009.006849,7.894
2009.009589,7.837
2009.012329,7.816
2009.015068,7.912
2009.017808,7.988
2009.020548,7.963
2009.023288,7.713
2009.026027,7.598
2009.028767,7.667
2009.031507,7.541
2009.034247,7.26
2009.036986,7.403
2009.039726,8.038
2009.042466,7.942
2009.045205,7.702
2009.047945,7.543
2009.050685,7.986
2009.053425,7.747
2009.056164,7.544
2009.058904,7.423
2009.061644,7.435
2009.064384,7.454
2009.067123,7.31
2009.069863,7.18
2009.072603,7.252
2009.075342,7.16
2009.078082,7.042
2009.080822,7.197
2009.083562,7.29
2009.086301,7.353
2009.089041,7.295
2009.091781,7.507
2009.094521,7.335
2009.09726,6.952
2009.1,6.569
2009.10274,6.582
2009.105479,6.707
2009.108219,6.86
2009.110959,6.758
2009.113699,6.716
2009.116438,6.569
2009.119178,6.811
2009.121918,6.995
2009.124658,7.005
2009.127397,7.072
2009.130137,7.365
2009.132877,7.278
2009.135616,7.221
2009.149315,7.601
2009.152055,7.603
2009.154795,7.638
2009.157534,7.792
2009.160274,7.785
2009.163014,7.644
2009.165753,7.597
2009.168493,7.53
2009.171233,7.514
2009.173973,7.473
2009.176712,7.462
2009.179452,7.538
2009.182192,7.247
2009.184932,7.365
2009.187671,7.54
2009.190411,7.782
2009.193151,7.814
2009.19589,7.833
2009.19863,7.898
2009.20137,7.878
2009.20411,7.912
2009.206849,7.963
2009.209589,8.069
2009.212329,8.296
2009.215068,8.274
2009.217808,8.258
2009.220548,8.312
2009.223288,8.243
2009.226027,8.083
2009.228767,8.247
2009.231507,8.17
2009.234247,8.004
2009.236986,7.885
2009.239726,7.802
2009.242466,8.249
2009.245205,8.401
2009.247945,8.487
2009.250685,8.69
2009.253425,8.646
2009.256164,8.571
2009.258904,8.495
2009.261644,8.494
2009.264384,8.428
2009.267123,8.513
2009.269863,8.698
2009.272603,8.745
2009.275342,8.566
2009.278082,8.818
2009.280822,8.809
2009.283562,9.024
2009.286301,9.013
2009.289041,9.22
2009.291781,9.316
2009.294521,9.337
2009.29726,9.252
2009.3,9.243
2009.30274,9.342
2009.305479,9.643
2009.308219,9.656
2009.310959,9.454
2009.313699,9.428
2009.316438,9.516
2009.319178,9.45
2009.321918,9.73
2009.324658,9.726
2009.327397,9.757
2009.330137,9.83
2009.332877,9.962
2009.335616,9.988
2009.338356,10.057
2009.341096,10.08
2009.343836,10.024
2009.346575,9.958
2009.349315,9.979
2009.352055,9.851
2009.354795,10.142
2009.357534,10.701
2009.360274,10.783
2009.363014,10.729
2009.365753,10.508
2009.368493,10.318
2009.371233,10.392
2009.373973,10.536
2009.376712,10.497
2009.379452,10.391
2009.382192,10.516
2009.384932,10.688
2009.387671,10.967
2009.390411,10.921
2009.393151,10.834
2009.39589,10.96
2009.39863,11.195
2009.40137,11.274
2009.40411,11.415
2009.406849,12.06
2009.409589,12.16
2009.412329,12.125
2009.415068,12.206
2009.417808,12.009
2009.420548,12.064
2009.423288,11.966
2009.426027,11.853
2009.428767,11.808
2009.431507,11.898
2009.434247,11.977
2009.436986,11.979
2009.439726,11.774
2009.442466,11.717
2009.445205,11.776
2009.447945,11.907
2009.450685,12.04
2009.453425,12.253
2009.456164,12.18
2009.458904,11.932
2009.461644,12.235
2009.464384,12.592
2009.467123,12.806
2009.469863,12.926
2009.472603,13.224
2009.475342,13.796
2009.478082,14.21
2009.480822,14.332
2009.483562,14.374
2009.486301,14.225
2009.489041,14.443
2009.491781,14.135
2009.494521,13.914
2009.49726,13.784
2009.5,13.805
2009.50274,13.691
2009.505479,13.931
2009.508219,13.932
2009.510959,13.958
2009.513699,13.876
2009.516438,13.68
2009.519178,13.669
2009.521918,13.937
2009.524658,14.229
2009.527397,13.993
2009.530137,14.349
2009.532877,14.106
2009.535616,14.124
2009.538356,14.369
2009.541096,14.416
2009.543836,14.337
2009.546575,14.239
2009.549315,14.571
2009.552055,14.949
2009.554795,15.161
2009.557534,15.349
2009.560274,15.382
2009.563014,15.647
2009.565753,15.659
2009.568493,15.486
2009.571233,15.558
2009.573973,15.714
2009.576712,15.767
2009.579452,15.502
2009.582192,15.44
2009.584932,15.535
2009.587671,15.82
2009.590411,15.903
2009.593151,15.874
2009.59589,15.851
2009.59863,15.827
2009.60137,15.824
2009.60411,15.759
2009.606849,15.814
2009.609589,15.715
2009.612329,15.688
2009.615068,15.761
2009.617808,15.635
2009.620548,15.701
2009.623288,15.666
2009.626027,15.803
2009.628767,15.836
2009.631507,15.864
2009.634247,15.759
2009.636986,15.528
2009.639726,15.562
2009.642466,15.484
2009.645205,15.35
2009.647945,15.181
2009.650685,15.288
2009.653425,15.182
2009.656164,15.04
2009.658904,14.9
2009.661644,14.922
2009.664384,15.09
2009.667123,14.962
2009.669863,15.025
2009.672603,15.026
2009.675342,14.838
2009.678082,14.754
2009.680822,14.626
2009.683562,14.881
2009.686301,14.879
2009.689041,14.729
2009.691781,14.811
2009.694521,14.851
2009.69726,14.926
2009.7,15.006
2009.70274,14.907
2009.705479,14.805
2009.708219,14.687
2009.710959,14.632
2009.713699,14.618
2009.716438,14.534
2009.719178,14.495
2009.721918,14.603
2009.724658,14.563
2009.727397,14.415
2009.730137,14.319
2009.732877,14.296
2009.735616,14.421
2009.738356,14.491
2009.741096,14.503
2009.743836,14.464
2009.746575,14.449
2009.749315,14.161
2009.752055,14.049
2009.754795,13.982
2009.757534,13.794
2009.760274,13.696
2009.763014,13.609
2009.765753,13.385
2009.768493,13.372
2009.771233,13.226
2009.773973,13.299
2009.776712,13.354
2009.779452,13.303
2009.782192,13.477
2009.784932,13.588
2009.787671,13.597
2009.790411,13.486
2009.793151,13.216
2009.79589,13.192
2009.79863,13.06
2009.80137,12.814
2009.80411,12.842
2009.806849,12.937
2009.809589,13.049
2009.812329,13.044
2009.815068,13.082
2009.817808,12.858
2009.820548,12.886
2009.823288,13.108
2009.826027,13.142
2009.828767,13.297
2009.831507,13.11
2009.834247,12.955
2009.836986,12.607
2009.839726,12.591
2009.842466,12.61
2009.845205,12.605
2009.847945,12.197
2009.850685,12.136
2009.853425,12.136
2009.856164,11.914
2009.858904,12.043
2009.861644,11.628
2009.864384,11.532
2009.867123,11.172
2009.869863,11.206
2009.872603,11.072
2009.875342,11.488
2009.878082,11.558
2009.880822,11.291
2009.883562,11.536
2009.886301,11.376
2009.889041,10.969
2009.891781,10.829
2009.894521,10.811
2009.89726,10.84
2009.9,10.397
2009.90274,10.113
2009.905479,10.245
2009.908219,9.921
2009.910959,9.956
2009.913699,10.026
2009.916438,9.847
2009.919178,10.032
2009.921918,10.034
2009.924658,9.84
2009.927397,10.086
2009.930137,9.799
2009.932877,9.675
2009.935616,9.671
2009.938356,9.698
2009.941096,9.558
2009.943836,9.375
2009.946575,9.269
2009.949315,9.258
2009.952055,9.518
2009.954795,9.469
2009.957534,9.586
2009.960274,9.362
2009.963014,9.286
2009.965753,9.331
2009.968493,9.012
2009.971233,9.167
2009.973973,8.779
2009.976712,8.485
2009.979452,8.402
2009.982192,8.349
2009.984932,8.078
2009.987671,8.08
2009.990411,7.949
2009.993151,7.728
2009.99589,7.68
2009.99863,7.587
2010.00137,7.755
2010.00411,7.825
2010.006849,7.645
2010.009589,7.962
2010.012329,7.72
2010.015068,7.369
2010.017808,7.624
2010.020548,7.687
2010.023288,7.685
2010.026027,7.181
2010.028767,7.061
2010.031507,7.053
2010.034247,6.87
2010.036986,7.193
2010.039726,7.459
2010.042466,7.581
2010.045205,7.223
2010.047945,7.351
2010.050685,7.29
2010.053425,7.107
2010.056164,7.151
2010.058904,7.299
2010.061644,7.169
2010.064384,7.252
2010.067123,6.833
2010.069863,6.761
2010.072603,7.113
2010.075342,7.049
2010.078082,6.89
2010.080822,6.715
2010.083562,6.965
2010.086301,7.131
2010.089041,7.343
2010.091781,6.84
2010.094521,6.851
2010.09726,7.078
2010.1,7.038
2010.10274,6.87
2010.105479,6.583
2010.108219,6.413
2010.110959,6.429
2010.113699,6.456
2010.116438,6.691
2010.119178,6.76
2010.121918,6.941
2010.124658,7.008
2010.127397,6.796
2010.130137,6.731
2010.132877,6.824
2010.135616,6.74
2010.138356,6.5
2010.141096,6.388
2010.143836,6.26
2010.146575,6.059
2010.149315,5.991
2010.152055,6.398
2010.154795,6.395
2010.157534,6.204
2010.160274,6.407
2010.163014,6.508
2010.165753,6.422
2010.168493,6.312
2010.171233,6.291
2010.173973,6.519
2010.176712,6.818
2010.179452,6.737
2010.182192,6.585
2010.184932,6.466
2010.187671,6.557
2010.190411,6.782
2010.193151,6.975
2010.19589,6.981
2010.19863,7.074
2010.20137,7.177
2010.20411,7.064
2010.206849,7.182
2010.209589,7.463
2010.212329,7.406
2010.215068,7.396
2010.217808,7.379
2010.220548,7.523
2010.223288,7.327
2010.226027,7.432
2010.228767,7.575
2010.231507,7.621
2010.234247,7.606
2010.236986,7.655
2010.239726,7.479
2010.242466,7.021
2010.245205,7.162
2010.247945,7.119
2010.250685,7.167
2010.253425,7.348
2010.256164,7.42
2010.258904,7.679
2010.261644,7.644
2010.264384,7.706
2010.267123,7.881
2010.269863,7.926
2010.272603,8.093
2010.275342,8.078
2010.278082,8.155
2010.280822,8.328
2010.283562,8.466
2010.286301,8.504
2010.289041,8.498
2010.291781,8.468
2010.294521,8.628
2010.29726,8.522
2010.3,8.453
2010.30274,8.444
2010.305479,8.618
2010.308219,8.743
2010.310959,8.943
2010.313699,9.023
2010.316438,9.191
2010.319178,9.357
2010.321918,9.483
2010.324658,9.346
2010.327397,9.421
2010.330137,9.718
2010.332877,9.675
2010.335616,9.618
2010.338356,9.69
2010.341096,9.744
2010.343836,9.889
2010.346575,10.107
2010.349315,10.13
2010.352055,9.977
2010.354795,9.721
2010.357534,9.616
2010.360274,9.719
2010.363014,9.673
2010.365753,9.817
2010.368493,10.033
2010.371233,10.01
2010.373973,10.22
2010.376712,10.68
2010.379452,10.515
2010.382192,10.651
2010.384932,10.671
2010.387671,10.758
2010.390411,10.867
2010.393151,10.951
2010.39589,10.788
2010.39863,10.544
2010.40137,10.492
2010.40411,10.726
2010.406849,10.975
2010.409589,11.092
2010.412329,11.482
2010.415068,11.296
2010.417808,11.51
2010.420548,11.876
2010.423288,11.588
2010.426027,11.527
2010.428767,11.526
2010.431507,11.584
2010.434247,11.401
2010.436986,11.571
2010.439726,11.356
2010.442466,11.216
2010.445205,11.44
2010.447945,11.571
2010.450685,12.079
2010.453425,11.882
2010.456164,11.926
2010.458904,12.278
2010.461644,12.258
2010.464384,12.108
2010.467123,11.811
2010.469863,11.998
2010.472603,12.265
2010.475342,12.076
2010.478082,12.23
2010.480822,12.467
2010.483562,12.415
2010.486301,12.479
2010.489041,12.582
2010.491781,12.809
2010.494521,13.134
2010.49726,13.305
2010.5,13.863
2010.50274,14.163
2010.505479,14.548
2010.508219,14.876
2010.510959,14.917
2010.513699,14.997
2010.516438,15.03
2010.519178,15.165
2010.521918,15.38
2010.524658,15.29
2010.527397,15.306
2010.530137,15.448
2010.532877,15.117
2010.535616,15.168
2010.538356,15.104
2010.541096,15.064
2010.543836,15.179
2010.546575,15.278
2010.549315,15.41
2010.552055,15.2
2010.554795,15.079
2010.557534,15.097
2010.560274,14.999
2010.563014,15.012
2010.565753,15.073
2010.568493,15.258
2010.571233,15.299
2010.573973,15.343
2010.576712,15.347
2010.579452,15.301
2010.582192,15.466
2010.584932,15.454
2010.587671,15.219
2010.590411,15.133
2010.593151,15.214
2010.59589,15.259
2010.59863,15.386
2010.60137,15.479
2010.60411,15.418
2010.606849,15.393
2010.609589,15.468
2010.612329,15.391
2010.615068,15.244
2010.617808,15.302
2010.620548,15.437
2010.623288,15.271
2010.626027,15.218
2010.628767,15.28
2010.631507,15.351
2010.634247,15.581
2010.636986,15.476
2010.639726,15.41
2010.642466,15.465
2010.645205,15.258
2010.647945,15.36
2010.650685,15.506
2010.653425,15.439
2010.656164,15.258
2010.658904,15.166
2010.661644,15.183
2010.664384,15.3
2010.667123,15.402
2010.669863,15.475
2010.672603,15.589
2010.675342,15.395
2010.678082,15.405
2010.680822,15.082
2010.683562,15.013
2010.686301,14.97
2010.689041,15.054
2010.691781,15.22
2010.694521,15.24
2010.69726,15.086
2010.7,15.1
2010.70274,14.923
2010.705479,14.908
2010.708219,14.831
2010.710959,14.667
2010.713699,14.499
2010.716438,14.79
2010.719178,14.923
2010.721918,15.021
2010.724658,14.992
2010.727397,14.827
2010.730137,14.477
2010.732877,14.251
2010.735616,14.212
2010.738356,14.237
2010.741096,14.184
2010.743836,14.29
2010.746575,14.109
2010.749315,13.914
2010.752055,13.569
2010.754795,13.796
2010.757534,13.639
2010.760274,13.475
2010.763014,13.351
2010.765753,13.462
2010.768493,13.611
2010.771233,13.676
2010.773973,13.42
2010.776712,13.49
2010.779452,13.506
2010.782192,13.477
2010.784932,13.411
2010.787671,13.355
2010.790411,13.241
2010.793151,13.045
2010.79589,13.019
2010.79863,12.715
2010.80137,12.39
2010.80411,12.501
2010.806849,12.541
2010.809589,12.443
2010.812329,12.305
2010.815068,12.19
2010.817808,12.415
2010.820548,12.324
2010.823288,12.041
2010.826027,12.087
2010.828767,11.809
2010.831507,11.683
2010.834247,11.561
2010.836986,11.639
2010.839726,11.573
2010.842466,11.791
2010.845205,11.755
2010.847945,11.515
2010.850685,11.167
2010.853425,11.177
2010.856164,11.142
2010.858904,10.864
2010.861644,10.944
2010.864384,10.67
2010.867123,10.051
2010.869863,10.055
2010.872603,10.075
2010.875342,10.073
2010.878082,10.211
2010.880822,10.159
2010.883562,9.994
2010.886301,10.044
2010.889041,10.043
2010.891781,9.945
2010.894521,10.31
2010.89726,10.307
2010.9,10.081
2010.90274,9.837
2010.905479,9.678
2010.908219,9.366
2010.910959,9.128
2010.913699,8.949
2010.916438,8.856
2010.919178,8.916
2010.921918,8.701
2010.924658,8.684
2010.927397,8.587
2010.930137,8.473
2010.932877,8.339
2010.935616,8.573
2010.938356,8.751
2010.941096,8.952
2010.943836,8.924
2010.946575,8.48
2010.949315,8.499
2010.952055,8.754
2010.954795,8.829
2010.957534,8.679
2010.960274,8.586
2010.963014,8.216
2010.965753,7.975
2010.968493,7.804
2010.971233,7.728
2010.973973,7.69
2010.976712,7.612
2010.979452,7.573
2010.982192,7.439
2010.984932,7.238
2010.987671,7.477
2010.990411,7.84
2010.993151,8.004
2010.99589,7.975
2010.99863,8.015
2011.00137,7.794
2011.00411,7.293
2011.006849,7.219
2011.009589,7.578
2011.012329,7.306
2011.015068,7.076
2011.017808,6.724
2011.020548,6.711
2011.023288,6.797
2011.026027,6.702
2011.028767,6.8
2011.031507,6.993
2011.034247,7.379
2011.036986,7.361
2011.039726,7.401
2011.042466,7.386
2011.045205,7.108
2011.047945,7.048
2011.050685,6.821
2011.053425,6.745
2011.056164,6.878
2011.058904,7.202
2011.061644,7.594
2011.064384,7.75
2011.067123,7.863
2011.069863,7.426
2011.072603,7.222
2011.075342,7.375
2011.078082,7.39
2011.080822,7.228
2011.083562,7.481
2011.086301,7.513
2011.089041,7.64
2011.091781,7.352
2011.094521,7.513
2011.09726,7.53
2011.1,7.599
2011.10274,7.513
2011.105479,7.182
2011.108219,7.457
2011.110959,7.471
2011.113699,7.407
2011.116438,7.445
2011.119178,7.598
2011.121918,7.545
2011.124658,7.078
2011.127397,7.267
2011.130137,7.215
2011.132877,7.305
2011.135616,7.558
2011.138356,7.643
2011.141096,7.66
2011.143836,7.796
2011.146575,8.011
2011.149315,8.166
2011.152055,8.21
2011.154795,7.851
2011.157534,7.681
2011.160274,7.691
2011.163014,7.824
2011.165753,7.683
2011.168493,8.017
2011.171233,7.995
2011.173973,8.058
2011.176712,7.938
2011.179452,7.899
2011.182192,7.84
2011.184932,7.786
2011.187671,7.67
2011.190411,7.528
2011.193151,7.472
2011.19589,7.371
2011.19863,7.399
2011.20137,7.539
2011.20411,7.668
2011.206849,7.587
2011.209589,7.379
2011.212329,7.479
2011.215068,7.814
2011.217808,8.116
2011.220548,8.175
2011.223288,8.15
2011.226027,8.251
2011.228767,8.137
2011.231507,8.276
2011.234247,8.363
2011.236986,8.327
2011.239726,8.398
2011.242466,8.45
2011.245205,8.587
2011.247945,9.008
2011.250685,8.752
2011.253425,8.656
2011.256164,8.686
2011.258904,9.022
2011.261644,9.183
2011.264384,9.197
2011.267123,9.264
2011.269863,9.484
2011.272603,9.447
2011.275342,9.366
2011.278082,9.271
2011.280822,9.416
2011.283562,9.669
2011.286301,9.699
2011.289041,9.598
2011.291781,9.677
2011.294521,9.966
2011.29726,9.846
2011.3,9.966
2011.30274,10.261
2011.305479,10.535
2011.308219,10.259
2011.310959,10.133
2011.313699,10.138
2011.316438,10.424
2011.319178,10.352
2011.321918,10.699
2011.324658,10.938
2011.327397,10.761
2011.330137,10.667
2011.332877,10.853
2011.335616,10.454
2011.338356,10.53
2011.341096,10.474
2011.343836,10.673
2011.346575,10.872
2011.349315,11.186
2011.352055,11.152
2011.354795,10.755
2011.357534,10.851
2011.360274,11.112
2011.363014,11.099
2011.365753,11.118
2011.368493,11.152
2011.371233,11.335
2011.373973,11.468
2011.376712,11.485
2011.379452,11.485
2011.382192,11.532
2011.384932,11.332
2011.387671,11.521
2011.390411,11.361
2011.393151,11.287
2011.39589,11.31
2011.39863,11.357
2011.40137,11.312
2011.40411,11.397
2011.406849,11.565
2011.409589,11.525
2011.412329,11.673
2011.415068,11.847
2011.417808,12.164
2011.420548,12.29
2011.423288,12.078
2011.426027,11.844
2011.428767,11.642
2011.431507,11.74
2011.434247,11.705
2011.436986,11.731
2011.439726,11.826
2011.442466,12.022
2011.445205,12.367
2011.447945,12.17
2011.450685,12.368
2011.453425,12.294
2011.456164,12.342
2011.458904,12.267
2011.461644,12.303
2011.464384,12.268
2011.467123,12.597
2011.469863,12.574
2011.472603,12.474
2011.475342,12.435
2011.478082,12.499
2011.480822,12.617
2011.483562,12.881
2011.486301,12.815
2011.489041,12.965
2011.491781,13.203
2011.494521,13.251
2011.49726,13.5
2011.5,13.559
2011.50274,13.539
2011.505479,13.798
2011.508219,13.666
2011.510959,13.814
2011.513699,14.036
2011.516438,13.907
2011.519178,13.73
2011.521918,13.767
2011.524658,13.889
2011.527397,14.157
2011.530137,14.301
2011.532877,14.037
2011.535616,13.891
2011.538356,13.973
2011.541096,14.057
2011.543836,13.952
2011.546575,14.02
2011.549315,13.992
2011.552055,14.007
2011.554795,14.217
2011.557534,14.34
2011.560274,14.27
2011.563014,13.941
2011.565753,13.849
2011.568493,13.676
2011.571233,13.674
2011.573973,14.007
2011.576712,14.142
2011.579452,13.958
2011.582192,13.899
2011.584932,13.96
2011.587671,14.216
2011.590411,14.256
2011.593151,14.149
2011.59589,14.226
2011.59863,14.288
2011.60137,14.214
2011.60411,14.133
2011.606849,14.106
2011.609589,14.438
2011.612329,14.762
2011.615068,14.685
2011.617808,14.772
2011.620548,14.816
2011.628767,14.964
2011.631507,14.763
2011.634247,14.867
2011.636986,15.062
2011.639726,15.078
2011.642466,15.079
2011.645205,15.07
2011.647945,14.921
2011.650685,14.95
2011.653425,15
2011.656164,14.802
2011.658904,14.681
2011.661644,14.788
2011.664384,14.808
2011.667123,14.958
2011.669863,14.89
2011.672603,14.837
2011.675342,14.694
2011.678082,14.617
2011.680822,14.415
2011.683562,14.435
2011.686301,14.533
2011.689041,14.724
2011.691781,15.037
2011.694521,14.484
2011.69726,14.319
2011.7,13.98
2011.70274,14.194
2011.705479,14.257
2011.708219,14.081
2011.710959,14.219
2011.713699,14.174
2011.716438,14.114
2011.719178,13.901
2011.721918,13.679
2011.724658,13.718
2011.727397,13.789
2011.730137,13.804
2011.732877,13.726
2011.735616,13.646
2011.738356,13.962
2011.741096,14.332
2011.743836,14.394
2011.746575,14.083
2011.749315,13.874
2011.752055,13.861
2011.754795,13.667
2011.757534,13.566
2011.760274,13.657
2011.763014,13.28
2011.765753,13.319
2011.768493,13.352
2011.771233,13.508
2011.773973,13.441
2011.776712,13.375
2011.779452,13.413
2011.782192,13.385
2011.784932,13.499
2011.787671,13.351
2011.790411,12.976
2011.793151,12.629
2011.79589,12.564
2011.79863,12.505
2011.80137,12.086
2011.80411,12.334
2011.806849,12.365
2011.809589,12.213
2011.812329,12.518
2011.815068,12.485
2011.817808,12.147
2011.820548,11.978
2011.823288,11.84
2011.826027,12.23
2011.828767,12.389
2011.831507,12.488
2011.834247,11.941
2011.836986,12.058
2011.839726,12.316
2011.842466,12.077
2011.845205,11.668
2011.847945,11.569
2011.850685,11.646
2011.853425,11.618
2011.856164,11.77
2011.858904,11.668
2011.861644,11.603
2011.864384,11.527
2011.867123,11.685
2011.869863,11.617
2011.872603,11.317
2011.875342,11.217
2011.878082,11.311
2011.880822,11.706
2011.883562,11.644
2011.886301,11.363
2011.889041,11.534
2011.891781,11.296
2011.894521,11.369
2011.89726,11.29
2011.9,10.907
2011.90274,11.031
2011.905479,10.866
2011.908219,10.564
2011.910959,10.544
2011.913699,9.916
2011.916438,9.94
2011.919178,9.821
2011.921918,10.184
2011.924658,9.892
2011.927397,9.485
2011.930137,9.332
2011.932877,9.317
2011.935616,9.218
2011.938356,9.017
2011.941096,9.014
2011.943836,9.15
2011.946575,9.183
2011.949315,8.816
2011.952055,8.784
2011.954795,8.817
2011.957534,8.856
2011.960274,8.792
2011.963014,8.637
2011.965753,8.702
2011.968493,8.691
2011.971233,9.05
2011.973973,9.287
2011.976712,8.976
2011.979452,8.881
2011.982192,9.366
2011.984932,9.598
2011.987671,9.345
2011.990411,9.102
2011.993151,8.962
2011.99589,9.149
2011.99863,9.307
2012.001366,8.771
2012.004098,8.7
2012.006831,8.717
2012.009563,8.727
2012.012295,8.746
2012.015027,8.942
2012.01776,8.926
2012.020492,8.989
2012.023224,8.903
2012.025956,8.92
2012.028689,9.182
2012.031421,9.034
2012.034153,8.61
2012.036885,8.465
2012.039617,8.382
2012.04235,8.207
2012.045082,8.269
2012.047814,8.603
2012.050546,8.367
2012.053279,8.461
2012.056011,8.455
2012.058743,8.33
2012.061475,8.069
2012.064208,8.291
2012.06694,8.431
2012.069672,7.974
2012.072404,8.112
2012.075137,8.052
2012.077869,8.026
2012.080601,7.526
2012.083333,7.165
2012.086066,6.946
2012.088798,6.802
2012.09153,6.73
2012.094262,7.278
2012.096995,7.72
2012.099727,7.891
2012.102459,7.793
2012.105191,7.601
2012.107923,7.853
2012.110656,8.085
2012.113388,8.119
2012.11612,8.165
2012.118852,8.153
2012.121585,8.127
2012.124317,8.318
2012.127049,8.394
2012.129781,8.308
2012.132514,8.026
2012.135246,7.696
2012.137978,7.86
2012.14071,8.398
2012.143443,8.522
2012.146175,8.672
2012.148907,8.485
2012.151639,8.409
2012.154372,8.584
2012.157104,8.786
2012.159836,8.877
2012.162568,8.892
2012.165301,8.866
2012.168033,8.82
2012.170765,8.639
2012.173497,8.352
2012.17623,8.484
2012.178962,8.393
2012.181694,8.47
2012.184426,8.585
2012.187158,8.821
2012.189891,8.855
2012.192623,8.922
2012.195355,8.93
2012.198087,8.879
2012.20082,8.801
2012.203552,8.823
2012.206284,8.948
2012.209016,8.798
2012.211749,8.805
2012.214481,8.862
2012.217213,9.201
2012.219945,9.135
2012.222678,9.364
2012.22541,9.45
2012.228142,9.542
2012.230874,9.686
2012.233607,9.684
2012.236339,9.668
2012.239071,9.682
2012.241803,9.632
2012.244536,9.538
2012.247268,9.636
2012.25,9.554
2012.252732,9.592
2012.255464,9.163
2012.258197,8.78
2012.260929,9.186
2012.263661,9.325
2012.266393,9.415
2012.269126,9.422
2012.271858,9.361
2012.27459,9.353
2012.277322,9.401
2012.280055,9.501
2012.282787,9.476
2012.285519,9.368
2012.288251,9.441
2012.290984,9.541
2012.293716,9.47
2012.296448,9.538
2012.29918,9.74
2012.301913,9.671
2012.304645,9.723
2012.307377,9.749
2012.310109,9.842
2012.312842,10.111
2012.315574,9.798
2012.318306,9.502
2012.321038,9.374
2012.32377,9.599
2012.326503,9.766
2012.329235,9.624
2012.331967,10.1
2012.334699,10.139
2012.337432,9.825
2012.340164,9.661
2012.342896,9.489
2012.345628,9.648
2012.348361,9.444
2012.351093,9.626
2012.353825,9.81
2012.356557,9.523
2012.35929,9.627
2012.362022,9.909
2012.364754,9.742
2012.367486,9.751
2012.370219,9.811
2012.372951,9.883
2012.375683,9.942
2012.378415,9.979
2012.381148,10.212
2012.38388,10.396
2012.386612,10.32
2012.389344,10.444
2012.392077,10.927
2012.394809,11.05
2012.397541,11.623
2012.400273,12.227
2012.403005,11.698
2012.405738,11.391
2012.40847,11.148
2012.411202,11.149
2012.413934,10.94
2012.416667,11.233
2012.419399,11.672
2012.422131,11.375
2012.424863,11.226
2012.427596,11.442
2012.430328,11.439
2012.43306,11.365
2012.435792,11.085
2012.438525,11.06
2012.441257,11.189
