Station Description:,38a Oceanographic Mooring
Region:,Celtic Seas
Latitude:,53.78301 N
Longitude:,5.62524 W
Measurement Depth/Range:,Surface
Sampling Frequency:,3-hourly
Notes:,SBE56 sensor
Data Source:,AFBI Northern Ireland
Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk)
Location of source datasets:,AFBI Northern Ireland
Data Protection:,Include on ICES website for free distribution.
Decimal Year,Temperature °C
1996.294,7.738
1996.297,7.700
1996.300,7.800
1996.303,8.063
1996.306,8.025
1996.308,7.938
1996.311,8.025
1996.314,7.913
1996.317,8.038
1996.319,8.263
1996.322,8.513
1996.325,8.575
1996.328,8.575
1996.331,8.688
1996.333,8.588
1996.336,8.125
1996.339,8.200
1996.342,8.513
1996.344,8.800
1996.347,8.900
1996.350,8.988
1996.353,8.850
1996.356,8.567
1996.369,9.775
1996.372,9.563
1996.375,9.563
1996.378,9.450
1996.381,9.650
1996.383,9.200
1996.386,8.900
1996.389,9.100
1996.392,9.175
1996.394,9.175
1996.397,9.413
1996.400,9.663
1996.403,9.800
1996.406,9.950
1996.408,9.900
1996.411,9.925
1996.414,9.988
1996.417,9.825
1996.417,10.075
1996.419,10.338
1996.422,10.175
1996.425,10.125
1996.428,10.163
1996.431,10.713
1996.433,11.200
1996.436,10.950
1996.439,10.763
1996.442,10.875
1996.444,10.875
1996.447,11.200
1996.450,12.025
1996.453,12.663
1996.456,13.175
1996.458,13.988
1996.461,13.900
1996.464,13.013
1996.467,12.200
1996.469,11.375
1996.472,11.675
1996.475,11.538
1996.478,11.750
1996.481,11.775
1996.483,12.388
1996.486,12.738
1996.489,12.975
1996.492,12.563
1996.494,12.275
1996.497,12.425
1996.500,12.413
1996.503,12.438
1996.506,12.575
1996.508,12.450
1996.511,12.313
1996.514,12.313
1996.517,12.363
1996.519,12.413
1996.522,12.675
1996.525,13.025
1996.528,13.250
1996.531,13.238
1996.533,13.475
1996.536,13.788
1996.539,13.663
1996.542,13.663
1996.544,14.175
1996.547,14.613
1996.550,14.625
1996.553,15.050
1996.556,15.050
1996.558,15.038
1996.561,15.238
1996.564,14.988
1996.567,14.950
1996.569,15.150
1996.572,15.088
1996.575,15.138
1996.578,14.925
1996.581,14.900
1996.583,14.775
1996.583,14.788
1996.586,14.675
1996.589,14.663
1996.592,14.463
1996.594,14.638
1996.597,14.475
1996.600,14.250
1996.603,14.200
1996.606,14.025
1996.608,14.175
1996.611,14.350
1996.614,13.900
1996.617,13.363
1996.619,13.425
1996.622,13.413
1996.625,13.413
1996.628,14.088
1996.631,14.888
1996.633,15.238
1996.636,14.988
1996.639,14.725
1996.642,14.563
1996.644,14.675
1996.647,14.700
1996.650,14.625
1996.653,14.388
1996.656,13.713
1996.658,14.088
1996.661,13.988
1996.664,13.850
1996.667,13.750
1996.667,13.825
1996.669,14.025
1996.672,14.125
1996.675,14.288
1996.678,14.388
1996.681,14.300
1996.683,14.113
1996.686,14.000
1996.689,14.113
1996.692,14.425
1996.694,14.513
1996.911,11.450
1996.914,11.325
1996.917,11.313
1996.919,11.275
1996.922,11.125
1996.925,10.963
1996.928,11.013
1996.931,10.963
1996.933,10.900
1996.936,10.838
1996.939,10.650
1996.942,10.638
1996.944,10.713
1996.947,10.650
1996.950,10.700
1996.953,10.675
1996.956,10.575
1996.958,10.613
1996.961,10.500
1996.964,10.463
1996.967,10.650
1996.969,10.638
1996.972,10.688
1996.975,10.750
1996.978,10.700
1996.981,10.700
1996.983,10.688
1996.986,10.563
1996.989,10.425
1996.992,10.325
1996.994,10.225
1996.997,10.088
1997.000,9.850
1997.000,9.725
1997.003,9.750
1997.006,9.725
1997.008,9.625
1997.011,9.400
1997.014,9.363
1997.017,9.000
1997.019,8.925
1997.022,8.950
1997.025,8.788
1997.028,8.863
1997.031,8.913
1997.033,8.813
1997.036,8.738
1997.039,8.738
1997.042,8.700
1997.044,8.638
1997.047,8.688
1997.050,8.588
1997.053,8.363
1997.056,8.413
1997.058,8.363
1997.061,8.400
1997.064,8.388
1997.067,8.425
1997.069,8.375
1997.072,8.313
1997.075,8.400
1997.078,8.400
1997.081,8.413
1997.083,8.400
1997.083,8.375
1997.086,8.400
1997.089,8.350
1997.092,8.163
1997.094,8.125
1997.097,8.138
1997.100,8.250
1997.103,8.325
1997.106,8.375
1997.108,8.400
1997.111,8.275
1997.114,8.267
1997.117,8.175
1997.119,8.175
1997.122,8.113
1997.125,8.138
1997.128,8.188
1997.131,8.063
1997.133,7.963
1997.136,7.900
1997.139,7.775
1997.142,7.763
1997.144,7.738
1997.147,7.725
1997.150,7.600
1997.153,7.613
1997.156,7.600
1997.158,7.613
1997.167,7.625
1997.169,7.700
1997.172,7.600
1997.181,7.567
1997.183,7.550
1997.186,7.525
1997.189,7.500
1997.192,7.488
1997.194,7.550
1997.197,7.613
1997.200,7.663
1997.203,7.638
1997.206,7.650
1997.208,7.713
1997.211,7.913
1997.214,7.850
1997.217,7.675
1997.219,7.825
1997.222,7.938
1997.225,7.838
1997.228,7.863
1997.231,8.000
1997.233,7.988
1997.236,7.813
1997.239,7.675
1997.242,7.613
1997.244,7.663
1997.247,7.663
1997.250,7.738
1997.250,7.975
1997.253,8.075
1997.256,7.813
1997.258,7.738
1997.261,7.688
1997.264,8.263
1997.267,8.050
1997.269,8.200
1997.272,8.375
1997.275,8.525
1997.278,8.513
1997.281,8.738
1997.283,9.175
1997.286,9.188
1997.289,9.188
1997.292,9.425
1997.294,9.450
1997.297,9.650
1997.300,9.500
1997.303,9.275
1997.306,9.138
1997.308,9.150
1997.311,9.163
1997.314,9.100
1997.317,8.975
1997.319,8.900
1997.322,9.000
1997.325,9.125
1997.328,9.150
1997.331,9.450
1997.333,9.525
1997.336,9.938
1997.339,10.150
1997.342,9.838
1997.344,9.650
1997.347,9.188
1997.350,9.025
1997.353,8.825
1997.356,9.013
1997.358,9.113
1997.361,9.213
1997.364,9.188
1997.367,9.313
1997.369,9.317
1997.372,10.500
1997.375,10.150
1997.378,10.425
1997.381,10.663
1997.383,10.600
1997.386,10.900
1997.389,11.000
1997.392,10.813
1997.394,10.738
1997.397,10.838
1997.400,11.175
1997.403,11.675
1997.406,11.588
1997.408,11.888
1997.411,12.563
1997.414,13.400
1997.417,14.038
1997.417,12.750
1997.419,12.038
1997.422,11.963
1997.425,12.260
1997.428,12.588
1997.431,11.450
1997.433,10.988
1997.436,11.925
1997.439,12.363
1997.442,12.575
1997.444,12.500
1997.447,12.625
1997.450,12.800
1997.453,12.500
1997.456,12.775
1997.458,13.288
1997.461,13.638
1997.464,13.325
1997.467,13.450
1997.469,13.188
1997.472,12.738
1997.475,12.525
1997.478,12.400
1997.481,12.300
1997.483,12.450
1997.486,11.688
1997.489,11.288
1997.492,11.288
1997.494,11.263
1997.497,11.263
1997.500,11.288
1997.503,11.600
1997.506,12.138
1997.508,12.325
1997.511,12.800
1997.514,13.188
1997.517,13.938
1997.519,14.500
1997.522,14.863
1997.525,14.963
1997.528,15.113
1997.531,14.675
1997.533,14.738
1997.536,14.675
1997.539,14.425
1997.542,14.863
1997.544,14.713
1997.547,14.725
1997.550,15.100
1997.553,16.163
1997.556,16.500
1997.558,16.938
1997.561,16.863
1997.564,16.688
1997.567,16.313
1997.569,15.800
1997.572,15.788
1997.575,15.375
1997.578,14.938
1997.581,14.150
1997.583,13.613
1997.583,14.425
1997.586,14.375
1997.589,14.638
1997.592,14.288
1997.594,14.188
1997.597,14.375
1997.600,14.713
1997.603,15.563
1997.606,15.750
1997.608,15.867
1997.611,15.900
1997.614,16.000
1997.617,16.400
1997.619,16.425
1997.622,16.125
1997.625,16.325
1997.628,16.713
1997.631,16.750
1997.633,16.950
1997.636,16.988
1997.639,16.825
1997.642,16.913
1997.644,16.900
1997.647,16.950
1997.650,16.975
1997.653,16.813
1997.656,16.300
1997.658,15.638
1997.661,15.650
1997.664,15.675
1997.667,15.700
1997.667,15.500
1997.669,15.375
1997.672,14.638
1997.675,14.400
1997.678,14.688
1997.681,14.788
1997.683,14.900
1997.686,15.000
1997.689,15.050
1997.692,15.150
1997.694,15.025
1997.697,14.888
1997.700,14.500
1997.703,14.438
1997.706,14.400
1997.708,14.338
1997.711,14.325
1997.714,14.275
1997.717,14.200
1997.719,14.238
1997.722,14.463
1997.725,14.463
1997.728,14.463
1997.731,14.588
1997.733,14.650
1997.736,14.588
1997.739,14.563
1997.742,14.563
1997.744,14.413
1997.747,14.400
1997.750,14.488
1997.753,14.475
1997.756,14.513
1997.758,14.538
1997.761,14.513
1997.764,14.413
1997.767,14.400
1997.769,14.400
1997.772,14.400
1997.775,14.338
1997.778,14.300
1997.781,14.250
1997.783,14.125
1997.786,14.100
1997.789,14.100
1997.792,14.100
1997.794,14.100
1997.797,14.175
1997.800,14.113
1997.803,14.100
1997.806,13.963
1997.808,13.863
1997.811,13.800
1997.814,13.700
1997.817,13.700
1997.819,13.700
1997.822,13.700
1997.825,13.650
1997.828,13.513
1997.831,13.513
1997.833,13.550
1997.833,13.550
1997.836,13.550
1997.839,13.538
1997.842,13.475
1997.844,13.450
1997.847,13.338
1997.850,13.338
1997.853,13.288
1997.856,13.275
1997.858,13.275
1997.861,13.225
1997.864,13.275
1997.867,13.313
1997.869,13.325
1997.872,13.350
1997.875,13.163
1997.878,13.338
1997.881,13.300
1997.883,13.250
1997.886,13.588
1997.889,13.600
1997.892,13.625
1997.894,13.700
1997.897,13.700
1997.900,13.613
1997.903,13.588
1997.906,13.575
1997.908,13.563
1997.911,13.513
1997.914,13.463
1997.917,13.350
1997.919,13.225
1997.922,13.200
1997.925,13.150
1997.928,13.113
1997.931,13.000
1997.933,12.988
1997.936,12.900
1997.939,12.900
1997.942,12.875
1997.944,12.800
1997.947,12.713
1997.950,12.675
1997.953,12.675
1997.956,12.588
1997.958,12.513
1997.961,12.450
1997.964,12.263
1997.967,12.288
1997.969,12.275
1997.972,12.213
1997.975,12.063
1997.978,11.450
1997.981,11.475
1997.983,11.263
1997.986,11.038
1997.989,11.000
1997.992,11.000
1997.994,10.963
1997.997,11.038
1998.000,11.038
1998.000,11.075
1998.003,11.000
1998.006,10.975
1998.008,10.913
1998.011,10.775
1998.014,10.738
1998.017,10.775
1998.019,10.738
1998.022,10.850
1998.025,10.900
1998.028,10.975
1998.031,10.763
1998.033,10.700
1998.036,10.463
1998.039,10.563
1998.042,10.563
1998.044,10.625
1998.047,10.613
1998.050,10.600
1998.053,10.625
1998.056,10.638
1998.058,10.438
1998.061,10.300
1998.064,10.250
1998.067,10.188
1998.069,10.050
1998.072,10.025
1998.075,10.000
1998.078,9.813
1998.081,9.713
1998.083,9.600
1998.083,9.650
1998.086,9.817
1998.097,9.520
1998.100,9.488
1998.103,9.375
1998.106,9.213
1998.108,9.300
1998.111,9.288
1998.114,9.175
1998.117,9.138
1998.119,9.188
1998.122,9.213
1998.125,9.200
1998.128,9.175
1998.131,9.113
1998.133,9.213
1998.136,9.213
1998.139,9.225
1998.142,9.200
1998.144,9.088
1998.147,9.125
1998.150,9.100
1998.153,9.088
1998.156,9.063
1998.158,8.850
1998.167,8.813
1998.169,8.775
1998.172,8.838
1998.175,8.813
1998.178,8.700
1998.181,8.938
1998.183,9.050
1998.186,9.063
1998.189,9.063
1998.192,9.050
1998.194,9.063
1998.197,9.013
1998.200,9.038
1998.203,9.050
1998.206,9.100
1998.208,9.013
1998.211,9.025
1998.214,9.013
1998.217,9.025
1998.219,9.038
1998.222,9.050
1998.225,9.163
1998.228,9.138
1998.231,9.063
1998.233,9.113
1998.236,9.125
1998.239,9.188
1998.242,9.125
1998.244,9.163
1998.247,9.150
1998.250,9.300
1998.253,9.288
1998.256,9.288
1998.258,9.275
1998.261,9.325
1998.264,9.400
1998.267,9.500
1998.269,9.400
1998.272,9.238
1998.275,9.250
1998.278,9.213
1998.281,9.200
1998.283,9.200
1998.286,9.200
1998.289,9.213
1998.292,9.288
1998.294,9.175
1998.297,9.275
1998.300,9.213
1998.303,9.350
1998.306,9.200
1998.308,9.138
1998.311,9.250
1998.314,9.275
1998.317,9.313
1998.319,9.350
1998.322,9.513
1998.325,9.500
1998.328,9.675
1998.331,9.800
1998.333,10.175
1998.336,10.175
1998.339,10.525
1998.342,10.675
1998.344,10.538
1998.347,10.263
1998.350,10.188
1998.353,10.138
1998.356,10.088
1998.358,10.363
1998.361,10.325
1998.364,10.200
1998.367,10.880
1998.369,11.075
1998.372,11.413
1998.375,11.838
1998.378,11.975
1998.381,12.288
1998.383,12.738
1998.386,13.525
1998.389,12.925
1998.392,12.763
1998.394,12.638
1998.397,12.525
1998.400,12.650
1998.403,12.275
1998.406,12.013
1998.408,11.700
1998.411,11.713
1998.414,12.075
1998.417,11.713
1998.417,12.125
1998.419,12.113
1998.422,11.913
1998.425,12.163
1998.428,12.263
1998.431,12.363
1998.433,12.313
1998.436,12.213
1998.439,12.150
1998.442,12.000
1998.444,11.500
1998.447,11.613
1998.450,11.600
1998.453,11.800
1998.456,12.200
1998.458,12.650
1998.461,12.838
1998.464,13.113
1998.467,12.963
1998.469,12.963
1998.472,13.063
1998.475,12.900
1998.478,12.900
1998.481,13.400
1998.483,13.738
1998.486,14.150
1998.489,14.575
1998.492,14.388
1998.494,14.288
1998.497,14.163
1998.500,14.138
