Index:,13,,
Station Description:,Malin Head Weather Station,,
Region:,Celtic Seas,,
Latitude:,55.37 N,,
Longitude:,7.34 W,,
Measurement Depth/Range:,Surface,,
Long Term Averaging Period:,1991-2020,,
Long Term Mean:,10.78,,
Standard Deviation:,0.45,,
Averaging method:,Data T is annual mean anomalies calculated by subtracting long term mean from annual mean,,
Notes:,,,
Data Source:,Marine Institute/Met Eireann - Ireland,,
Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie),,
Location of source datasets:,Marine Institute/Met Eireann - Ireland,,
Data Protection:,Include on ICES website for free distribution. ,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C
1959,11.23, 0.45, 0.99
1960,,,
1961,10.73,-0.05,-0.12
1962,10.25,-0.53,-1.18
1963, 9.74,-1.04,-2.30
1964,10.65,-0.13,-0.29
1965,10.19,-0.59,-1.31
1966,10.33,-0.45,-1.00
1967,10.47,-0.31,-0.69
1968,10.47,-0.31,-0.69
1969,10.38,-0.40,-0.89
1970,10.27,-0.51,-1.13
1971,10.86, 0.08, 0.17
1972,10.06,-0.72,-1.60
1973,10.58,-0.20,-0.45
1974,10.45,-0.33,-0.74
1975,10.79, 0.01, 0.01
1976,10.70,-0.08,-0.18
1977,10.13,-0.65,-1.44
1978,10.19,-0.59,-1.31
1979, 9.81,-0.97,-2.15
1980,10.46,-0.32,-0.71
1981,10.43,-0.35,-0.78
1982,10.27,-0.51,-1.13
1983,10.45,-0.33,-0.74
1984,10.51,-0.27,-0.60
1985,10.05,-0.73,-1.62
1986, 9.62,-1.16,-2.57
1987,10.12,-0.66,-1.46
1988,10.56,-0.22,-0.49
1989,11.08, 0.30, 0.65
1990,10.99, 0.21, 0.46
1991,10.10,-0.68,-1.51
1992,10.15,-0.63,-1.40
1993, 9.75,-1.03,-2.28
1994,10.22,-0.56,-1.24
1995,10.63,-0.15,-0.34
1996,10.08,-0.70,-1.55
1997,10.64,-0.14,-0.32
1998,10.74,-0.04,-0.10
1999,10.66,-0.12,-0.27
2000,10.61,-0.17,-0.38
2001,10.25,-0.53,-1.18
2002,10.75,-0.03,-0.07
2003,11.00, 0.22, 0.48
2004,11.34, 0.56, 1.23
2005,11.29, 0.51, 1.12
2006,11.13, 0.35, 0.77
2007,,,
2008,,,
2009,11.21, 0.43, 0.94
2010,10.73,-0.05,-0.12
2011,11.02, 0.24, 0.52
2012,10.83, 0.05, 0.10
2013,10.74,-0.04,-0.10
2014,11.33, 0.55, 1.21
2015,10.87, 0.09, 0.19
2016,11.27, 0.49, 1.07
2017,11.44, 0.66, 1.45
2018,10.74,-0.04,-0.10
2019,11.44, 0.66, 1.45
2020,10.97, 0.19, 0.41
2021,11.10, 0.32, 0.70
2022,12.16, 1.38, 3.04
2023,11.96, 1.18, 2.60
2024,11.47, 0.69, 1.52
