Station Description:,Central Skagerrak,,,,,,,
Region:,9,,,,,,,
Latitude:,58.1333 N,,,,,,,
Longitude:,9.1833 E,,,,,,,
Measurement Depth/Range:,Bottom-water,600m,,,,,,
Long Term Averaging Period:,1991-2020,,,,,,,
Notes:,Skagerrak bottom-water properties (600m),,,,,,,
Data Source:,IMR - Institute of Marine Research - Norway,,,,,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,,,
Month,Temperature C,SD,Min,Max,Salinity,SD,Min,Max
0.5,6.31,0.46,5.17,7.03,35.16,0.05,35.03,35.22
1.5,6.28,0.49,5.03,7.01,35.16,0.05,35.01,35.22
2.5,6.17,0.51,4.74,6.92,35.15,0.05,35.02,35.22
3.5,5.98,0.57,4.41,7.00,35.13,0.06,34.96,35.20
4.5,6.04,0.45,5.32,7.05,35.15,0.05,35.04,35.21
5.5,6.04,0.51,4.49,7.01,35.14,0.05,34.97,35.22
6.5,6.07,0.51,4.68,7.03,35.15,0.05,34.98,35.22
7.5,6.07,0.48,4.77,7.03,35.15,0.05,34.99,35.23
8.5,6.09,0.53,4.61,7.02,35.15,0.05,34.98,35.23
9.5,6.11,0.49,4.90,6.98,35.15,0.05,35.01,35.23
10.5,6.13,0.46,4.71,6.84,35.14,0.06,34.99,35.22
11.5,6.17,0.48,5.00,6.91,35.15,0.05,35.02,35.23
Measured data for year 2022,,,,,,,,
Month,Temperature C,Salinity,,,,,,
0.5,,,,,,,,
1.5,,,,,,,,
2.5,6.74,35.12,,,,,,
3.5,6.79,35.11,,,,,,
4.5,6.78,35.11,,,,,,
5.5,6.75,35.11,,,,,,
6.5,6.79,35.11,,,,,,
7.5,6.92,35.13,,,,,,
8.5,6.82,35.12,,,,,,
9.5,,,,,,,,
10.5,7.06,35.14,,,,,,
11.5,6.94,35.13,,,,,,
Measured data for year 2023,,,,,,,,
Month,Temperature C,Salinity,,,,,,
0.5,6.98,35.13,,,,,,
1.5,7.05,35.14,,,,,,
2.5,6.97,35.13,,,,,,
3.5,7.03,35.13,,,,,,
4.5,,,,,,,,
5.5,7.08,35.14,,,,,,
6.5,7.14,35.14,,,,,,
7.5,7.10,35.14,,,,,,
8.5,7.15,35.14,,,,,,
9.5,7.15,35.14,,,,,,
10.5,7.16,35.14,,,,,,
11.5,7.15,35.14,,,,,,
Measured data for year 2024,,,,,,,,
Month,Temperature C,Salinity,,,,,,
0.5,7.24,35.14,,,,,,
1.5,7.26,35.13,,,,,,
2.5,7.23,35.13,,,,,,
3.5,,,,,,,,
4.5,7.29,35.13,,,,,,
5.5,,,,,,,,
6.5,7.16,35.11,,,,,,
7.5,7.20,35.12,,,,,,
8.5,7.23,35.12,,,,,,
9.5,7.23,35.12,,,,,,
10.5,7.21,35.12,,,,,,
11.5,,,,,,,,
