Station Description:,Central Skagerrak,,,,,
Region:,9,,,,,
Latitude:,58.1333 N,,,,,
Longitude:,9.1833 E,,,,,
Measurement Depth/Range:,Surface-water,0-10m,,,,
Long Term Averaging Period:,1991-2020,,,,,
Long Term Mean:,9.506,31.481,,,,
Standard Deviation:,1.187,0.652,,,,
Notes:,Central Skagerrak Surface Water,,,,,
Data Source:,IMR - Institute of Marine Research - Norway,,,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,
Year,Temperature C,Temperature Anomaly C,Temperature Anomaly Normalized,Salinity,Salinity Anomaly,Salinity Anomaly Normalized
1952,9.157,-0.970,-1.339,32.109,0.570,1.007
1953,8.794,-1.333,-1.840,31.481,-0.057,-0.101
1954,,,,,,
1955,,,,,,
1956,7.731,-2.396,-3.308,31.021,-0.518,-0.914
1957,,,,,,
1958,6.258,-3.869,-5.342,29.629,-1.909,-3.372
1959,10.675,0.548,0.756,31.485,-0.054,-0.095
1960,8.052,-2.075,-2.865,32.314,0.775,1.369
1961,,,,,,
1962,,,,,,
1963,7.420,-2.707,-3.738,29.542,-1.997,-3.526
1964,,,,,,
1965,8.432,-1.695,-2.340,32.014,0.475,0.839
1966,10.361,0.234,0.323,31.846,0.307,0.543
1967,9.232,-0.895,-1.236,31.770,0.232,0.409
1968,8.666,-1.461,-2.017,31.512,-0.026,-0.046
1969,,,,,,
1970,9.030,-1.097,-1.514,31.301,-0.238,-0.420
1971,8.306,-1.821,-2.514,31.641,0.102,0.180
1972,7.947,-2.180,-3.010,30.851,-0.687,-1.214
1973,9.110,-1.017,-1.404,32.383,0.845,1.492
1974,8.941,-1.186,-1.638,30.042,-1.496,-2.642
1975,10.710,0.583,0.804,31.321,-0.217,-0.383
1976,8.792,-1.335,-1.843,32.427,0.889,1.570
1977,8.971,-1.156,-1.597,32.179,0.641,1.131
1978,8.468,-1.659,-2.290,31.376,-0.163,-0.287
1979,6.997,-3.130,-4.322,31.231,-0.308,-0.544
1980,8.276,-1.851,-2.556,30.996,-0.542,-0.957
1981,8.364,-1.763,-2.435,31.041,-0.498,-0.879
1982,8.196,-1.931,-2.666,31.467,-0.072,-0.126
1983,8.619,-1.508,-2.082,31.897,0.359,0.633
1984,8.140,-1.987,-2.743,30.431,-1.107,-1.956
1985,7.976,-2.151,-2.970,32.343,0.805,1.421
1986,7.563,-2.564,-3.540,31.484,-0.055,-0.097
1987,,,,,,
1988,10.074,-0.054,-0.074,31.535,-0.003,-0.006
1989,10.367,0.240,0.331,31.693,0.154,0.272
1990,10.506,0.379,0.523,31.968,0.429,0.758
1991,10.963,0.835,1.153,31.363,-0.176,-0.310
1992,9.697,-0.430,-0.593,32.180,0.641,1.133
1993,8.424,-1.704,-2.352,31.632,0.093,0.164
1994,9.480,-0.647,-0.893,31.915,0.376,0.665
1995,10.419,0.292,0.403,31.166,-0.372,-0.657
1996,9.162,-0.965,-1.332,31.663,0.125,0.221
1997,10.133,0.005,0.007,32.383,0.845,1.492
1998,9.728,-0.400,-0.552,32.316,0.778,1.374
1999,10.266,0.139,0.192,31.663,0.124,0.220
2000,10.173,0.046,0.063,31.082,-0.457,-0.806
2001,9.658,-0.470,-0.648,31.483,-0.055,-0.097
2002,10.039,-0.088,-0.121,32.080,0.541,0.956
2003,9.610,-0.517,-0.713,32.327,0.789,1.393
2004,9.986,-0.141,-0.194,32.195,0.656,1.158
2005,11.008,0.880,1.216,31.042,-0.497,-0.877
2006,10.589,0.462,0.637,32.177,0.639,1.128
2007,10.505,0.378,0.521,31.009,-0.530,-0.936
2008,10.674,0.547,0.755,32.168,0.630,1.112
2009,10.383,0.256,0.353,32.226,0.687,1.214
2010,9.853,-0.274,-0.379,31.368,-0.171,-0.302
2011,8.661,-1.466,-2.024,31.209,-0.330,-0.582
2012,10.239,0.112,0.154,30.743,-0.796,-1.405
2013,9.249,-0.878,-1.213,30.819,-0.720,-1.271
2014,11.934,1.807,2.495,30.760,-0.779,-1.375
2015,10.355,0.228,0.315,31.514,-0.024,-0.042
2016,10.626,0.499,0.689,30.840,-0.699,-1.234
2017,10.445,0.318,0.439,31.954,0.415,0.733
2018,10.711,0.584,0.806,30.548,-0.990,-1.749
2019,9.870,-0.257,-0.355,31.023,-0.515,-0.910
2020,10.973,0.846,1.169,31.307,-0.231,-0.408
2021,10.506,0.379,0.523,31.515,-0.024,-0.042
2022,11.370,1.243,1.716,30.506,-1.033,-1.824
2023,10.990,0.863,1.192,31.768,0.229,0.405
2024,11.044,0.917,1.266,32.002,0.463,0.818
