Index:,33,,,,, 
Station Description:,North Sea - Helgoland Roads,,,,, 
Region:,North Sea,,,,, 
Latitude:,54.1833 N,,,,, 
Longitude:,7.9 E,,,,, 
Measurement Depth/Range:,Surface,,,,, 
Long Term Averaging Period:,1991-2020,1991-2020,,,, 
Long Term Mean:,10.68,32.387,,,, 
Standard Deviation:,0.67,0.409,,,, 
Spatial Coverage:,Point measurement from bucket sample,,,,, 
Vertical Coverage:,surface,,,,, 
Temporal Coverage:,original data is work-daily - weather permitting,,,,, 
Averaging Method:,monthly means of work-daily data,,,,, 
Seasonal Cycle:,Seasonal cycle has not been removed.,,,,, 
Reference:,Wiltshire et al. (2010) Helgoland roads North Sea: 45 years of change. Estuaries and Coasts. (33) 295-310 https://doi.org/10.1007/s12237-009-9228-y,,,,, 
Notes:,Data processing (monthly means) by BSH (manuela.koellner@bsh.de). Data from the 1950s partly stem from various sources and stations nearby. They are merged with HR data via correlation analysis done by BSH,,,,, 
Data Source:,Alfred-Wegener-Institut (AWI) - Helmholtz-Zentrum für Polar- und Meeresforschung,,,,, 
Contact Name (email):,Inga Kirstein (inga.kirstein@awi.de),,,,, 
Location of source datasets:,Alfred-Wegener-Institut (AWI) - Helmholtz-Zentrum für Polar- und Meeresforschung,,,,, 
Data Protection:,Include on ICES website for free distribution.,,,,, 
Year,Temperature °C,Salinity,,,, 
1950.04167,5.51,33.078,,,,
1950.12500,4.61,33.159,,,,
1950.20833,4.32,31.623,,,,
1950.29167,6.51,32.273,,,,
1950.37500,9.26,32.248,,,,
1950.45833,13.18,32.468,,,,
1950.54167,16.21,33.167,,,,
1950.62500,17.74,33.134,,,,
1950.70833,16.70,33.386,,,,
1950.79167,13.25,32.939,,,,
1950.87500,10.38,33.329,,,,
1950.95833,5.98,32.744,,,,
1951.04167,3.86,32.850,,,,
1951.12500,3.57,32.866,,,,
1951.20833,3.75,32.444,,,,
1951.29167,5.80,31.590,,,,
1951.37500,8.72,32.151,,,,
1951.45833,12.37,32.980,,,,
1951.54167,15.25,32.151,,,,
1951.62500,16.37,32.996,,,,
1951.70833,15.91,33.004,,,,
1951.79167,13.03,32.996,,,,
1951.87500,10.49,33.573,,,,
1951.95833,7.39,32.696,,,,
1952.04167,5.17,32.273,,,,
1952.12500,3.27,31.395,,,,
1952.20833,3.65,32.370,,,,
1952.29167,6.13,32.549,,,,
1952.37500,10.23,32.313,,,,
1952.45833,13.39,31.704,,,,
1952.54167,15.79,31.403,,,,
1952.62500,16.68,31.964,,,,
1952.70833,14.91,31.517,,,,
1952.79167,11.45,31.907,,,,
1952.87500,8.57,32.468,,,,
1952.95833,4.73,32.435,,,,
1953.04167,3.32,32.216,,,,
1953.12500,2.61,30.591,,,,
1953.20833,4.21,29.729,,,,
1953.29167,6.54,31.988,,,,
1953.37500,10.04,31.923,,,,
1953.45833,12.83,32.460,,,,
1953.54167,16.27,32.858,,,,
1953.62500,16.67,31.785,,,,
1953.70833,15.01,31.509,,,,
1953.79167,13.37,31.615,,,,
1953.87500,11.54,33.142,,,,
1953.95833,8.57,33.313,,,,
1954.04167,4.17,32.305,,,,
1954.12500,1.50,33.321,,,,
1954.20833,2.34,33.565,,,,
1954.29167,4.98,31.972,,,,
1954.37500,8.02,32.492,,,,
1954.45833,12.26,33.321,,,,
1954.54167,14.78,32.801,,,,
1954.62500,15.56,32.647,,,,
1954.70833,15.04,32.525,,,,
1954.79167,12.27,32.671,,,,
1954.87500,9.32,32.525,,,,
1954.95833,7.02,32.622,,,,
1955.04167,3.59,31.436,,,,
1955.12500,2.67,32.208,,,,
1955.20833,2.05,31.419,,,,
1955.29167,5.17,29.745,,,,
1955.37500,8.55,30.907,,,,
1955.45833,11.19,31.444,,,,
1955.54167,14.83,31.769,,,,
