Station Description:,Modelled North Sea Inflow,,
Region:,8&9,,
Latitude:,59 N,,
Longitude:,1 E,,
Measurement Depth/Range:,Depth Averaged,,
Sampling Frequency:,Monthly Mean Modelled Output,,
Notes:,Modelled Volume Transport between Orkney - Scotland and Utsira - Norway (-Inflow is flow in a southwards direction. +Outflow is flow in a northward direction. +NetFlow is flow in a northward direction) Units Svedrup 10^6m^3/s,,
Data Source:,IMR - Institute of Marine Research - Norway,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,
Data Protection:,Include on ICES website for free distribution.,,
Decimal Year,Inflow (Sv),Outflow (Sv),Net Flow (Sv)
1985.0417,-0.959,1.228,0.269
1985.1250,-1.108,1.555,0.447
1985.2083,-0.961,1.231,0.270
1985.2917,-0.863,1.168,0.305
1985.3750,-0.754,1.086,0.332
1985.4583,-1.032,1.298,0.266
1985.5417,-1.275,1.609,0.334
1985.6250,-1.247,1.692,0.445
1985.7083,-1.491,1.804,0.313
1985.7917,-1.718,2.043,0.325
1985.8750,-1.162,1.426,0.264
1985.9583,-1.394,1.765,0.371
1986.0417,-1.186,1.621,0.435
1986.1250,-0.801,1.105,0.304
1986.2083,-1.532,1.877,0.345
1986.2917,-0.702,1.043,0.341
1986.3750,-1.367,1.772,0.405
1986.4583,-1.101,1.400,0.299
1986.5417,-1.356,1.639,0.283
1986.6250,-1.153,1.460,0.307
1986.7083,-1.577,1.828,0.251
1986.7917,-1.834,2.134,0.300
1986.8750,-1.855,2.366,0.511
1986.9583,-1.675,2.078,0.403
1987.0417,-1.123,1.428,0.305
1987.1250,-1.069,1.317,0.248
1987.2083,-0.988,1.373,0.385
1987.2917,-0.945,1.292,0.347
1987.3750,-0.942,1.183,0.241
1987.4583,-0.937,1.267,0.330
1987.5417,-1.125,1.410,0.285
1987.6250,-1.144,1.425,0.281
1987.7083,-1.712,2.041,0.329
1987.7917,-1.420,1.856,0.436
1987.8750,-1.331,1.621,0.290
1987.9583,-1.270,1.562,0.292
1988.0417,-1.221,1.686,0.465
1988.1250,-1.302,1.578,0.276
1988.2083,-0.789,1.151,0.362
1988.2917,-0.977,1.247,0.270
1988.3750,-0.841,1.141,0.300
1988.4583,-1.225,1.504,0.279
1988.5417,-1.146,1.512,0.366
1988.6250,-1.341,1.695,0.354
1988.7083,-1.735,2.019,0.284
1988.7917,-1.243,1.672,0.429
1988.8750,-1.624,1.825,0.201
1988.9583,-1.893,2.211,0.318
1989.0417,-2.580,2.933,0.353
1989.1250,-2.064,2.406,0.342
1989.2083,-1.439,1.864,0.425
1989.2917,-0.805,1.115,0.310
1989.3750,-1.304,1.555,0.251
1989.4583,-1.083,1.348,0.265
1989.5417,-1.220,1.476,0.256
1989.6250,-1.441,1.788,0.347
1989.7083,-1.734,2.022,0.288
1989.7917,-1.574,1.888,0.314
1989.8750,-1.213,1.575,0.362
1989.9583,-1.050,1.440,0.390
1990.0417,-2.219,2.646,0.427
1990.1250,-2.280,2.779,0.499
1990.2083,-2.115,2.541,0.426
1990.2917,-1.205,1.437,0.232
1990.3750,-1.022,1.275,0.253
1990.4583,-0.895,1.241,0.346
1990.5417,-1.213,1.512,0.299
1990.6250,-1.257,1.549,0.292
1990.7083,-1.473,1.731,0.258
1990.7917,-1.354,1.743,0.389
1990.8750,-1.052,1.411,0.359
1990.9583,-1.435,1.709,0.274
1991.0417,-1.557,2.089,0.532
1991.1250,-0.939,1.275,0.336
1991.2083,-0.866,1.191,0.325
1991.2917,-1.171,1.484,0.313
1991.3750,-1.392,1.607,0.215
1991.4583,-0.978,1.309,0.331
1991.5417,-1.109,1.484,0.375
1991.6250,-1.433,1.755,0.322
1991.7083,-1.631,1.880,0.249
1991.7917,-1.361,1.747,0.386
1991.8750,-1.625,2.009,0.384
1991.9583,-1.972,2.319,0.347
1992.0417,-1.824,2.202,0.378
1992.1250,-1.762,2.066,0.304
1992.2083,-1.329,1.644,0.315
1992.2917,-0.916,1.291,0.375
1992.3750,-1.201,1.494,0.293
1992.4583,-1.043,1.340,0.297
1992.5417,-1.262,1.505,0.243
1992.6250,-1.262,1.687,0.425
1992.7083,-1.438,1.829,0.391
1992.7917,-0.939,1.213,0.274
1992.8750,-1.793,2.165,0.372
1992.9583,-1.546,2.095,0.549
1993.0417,-2.812,3.362,0.550
1993.1250,-1.860,2.097,0.237
1993.2083,-1.567,1.937,0.370
1993.2917,-0.933,1.323,0.390
1993.3750,-0.783,1.058,0.275
1993.4583,-1.117,1.447,0.330
1993.5417,-1.237,1.560,0.323
1993.6250,-1.371,1.655,0.284
1993.7083,-1.044,1.347,0.303
1993.7917,-0.907,1.181,0.274
1993.8750,-1.263,1.675,0.412
1993.9583,-1.278,1.623,0.345
1994.0417,-1.609,2.005,0.396
1994.1250,-1.026,1.484,0.458
1994.2083,-1.834,2.206,0.372
1994.2917,-1.113,1.520,0.407
1994.3750,-0.980,1.293,0.313
1994.4583,-1.544,1.897,0.353
1994.5417,-1.212,1.516,0.304
1994.6250,-1.146,1.440,0.294
1994.7083,-1.184,1.460,0.276
1994.7917,-1.232,1.569,0.337
1994.8750,-1.457,1.916,0.459
1994.9583,-1.789,2.156,0.367
1995.0417,-1.425,1.932,0.507
1995.1250,-1.668,2.064,0.396
1995.2083,-1.361,1.764,0.403
1995.2917,-1.016,1.304,0.288
1995.3750,-0.995,1.311,0.316
1995.4583,-1.001,1.224,0.223
1995.5417,-1.192,1.551,0.359
1995.6250,-1.230,1.475,0.245
1995.7083,-1.113,1.372,0.259
1995.7917,-1.820,2.243,0.423
1995.8750,-1.046,1.402,0.356
1995.9583,-0.891,1.151,0.260
1996.0417,-0.944,1.453,0.509
1996.1250,-0.894,1.198,0.304
1996.2083,-0.853,1.148,0.295
1996.2917,-1.120,1.514,0.394
1996.3750,-0.901,1.133,0.232
1996.4583,-1.373,1.740,0.367
1996.5417,-1.319,1.575,0.256
1996.6250,-1.059,1.467,0.408
1996.7083,-1.367,1.526,0.159
1996.7917,-1.460,1.942,0.482
1996.8750,-1.351,1.618,0.267
1996.9583,-1.123,1.536,0.413
1997.0417,-1.174,1.476,0.302
1997.1250,-1.929,2.442,0.513
1997.2083,-1.565,1.944,0.379
1997.2917,-1.318,1.580,0.262
1997.3750,-0.766,1.110,0.344
1997.4583,-0.765,1.045,0.280
1997.5417,-0.940,1.274,0.334
1997.6250,-1.136,1.474,0.338
1997.7083,-1.583,1.848,0.265
1997.7917,-1.387,1.684,0.297
1997.8750,-1.196,1.652,0.456
1997.9583,-1.022,1.401,0.379
1998.0417,-1.268,1.760,0.492
1998.1250,-2.052,2.238,0.186
1998.2083,-1.161,1.558,0.397
1998.2917,-0.762,1.097,0.335
1998.3750,-0.781,1.081,0.300
1998.4583,-0.910,1.268,0.358
1998.5417,-1.069,1.373,0.304
1998.6250,-1.373,1.688,0.315
