Station Description:,38a Oceanographic Mooring
Region:,Celtic Seas
Latitude:,53.78301 N
Longitude:,5.62524 W
Measurement Depth/Range:,Seabed
Sampling Frequency:,3-hourly
Notes:,SBE56 sensor
Data Source:,AFBI Northern Ireland
Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk)
Location of source datasets:,AFBI Northern Ireland
Data Protection:,Include on ICES website for free distribution.
Decimal Year,Temperature °C
1996.294,7.6
1996.297,7.6
1996.300,7.6
1996.303,7.6
1996.306,7.6
1996.308,7.6
1996.311,7.6
1996.314,7.6
1996.317,7.6
1996.319,7.6125
1996.322,7.6125
1996.325,7.6
1996.328,7.6
1996.331,7.6
1996.333,7.6
1996.336,7.7125
1996.339,8
1996.342,8.175
1996.344,8.275
1996.347,8.35
1996.350,8.3
1996.353,8.2375
1996.356,8.3667
1996.369,8.4
1996.372,8.4
1996.375,8.4
1996.378,8.4
1996.381,8.4
1996.383,8.4
1996.386,8.4
1996.389,8.4
1996.392,8.4
1996.394,8.4
1996.397,8.4
1996.400,8.375
1996.403,8.325
1996.406,8.3125
1996.408,8.2875
1996.411,8.2625
1996.414,8.1625
1996.417,8.375
1996.417,8.075
1996.419,7.875
1996.422,7.9
1996.425,8.0125
1996.428,8.0625
1996.431,8.0125
1996.433,8
1996.436,8
1996.439,8
1996.442,8.05
1996.444,8.275
1996.447,8.4
1996.450,8.4
1996.453,8.4
1996.456,8.4
1996.458,8.4
1996.461,8.4
1996.464,8.4
1996.467,8.4
1996.469,8.5
1996.472,8.45
1996.475,8.4
1996.478,8.4
1996.481,8.4125
1996.483,8.475
1996.486,8.4875
1996.489,8.5
1996.492,8.5
1996.494,8.5
1996.497,8.5375
1996.500,8.5875
1996.503,8.6375
1996.506,8.7375
1996.508,8.8
1996.511,8.9125
1996.514,9.0125
1996.517,9.0375
1996.519,9.0625
1996.522,9.125
1996.525,9.175
1996.528,9.2125
1996.531,9.175
1996.533,9.125
1996.536,9.1375
1996.539,9.175
1996.542,9.2
1996.544,9.2
1996.547,9.275
1996.550,9.4
1996.553,9.475
1996.556,9.5
1996.558,9.5625
1996.561,9.5125
1996.564,9.4375
1996.567,9.55
1996.569,9.5625
1996.572,9.65
1996.575,9.7625
1996.578,9.8875
1996.581,10.0375
1996.583,10.05
1996.583,10.0375
1996.586,10.125
1996.589,10.2875
1996.592,10.175
1996.594,9.8125
1996.597,9.9125
1996.600,9.9375
1996.603,10
1996.606,10.0375
1996.608,10.125
1996.611,10.2
1996.614,10.2
1996.617,
1996.619,
1996.622,
1996.625,
1996.628,
1996.631,
1996.633,
1996.636,
1996.639,
1996.642,
1996.644,
1996.647,
1996.650,
1996.653,
1996.656,
1996.658,
1996.661,
1996.664,
1996.667,
1996.667,
1996.669,
1996.672,
1996.675,
1996.678,
1996.681,
1996.683,
1996.686,
1996.689,
1996.692,
1996.694,
1996.911,11.175
1996.914,11.1125
1996.917,11
1996.919,10.875
1996.922,10.775
1996.925,10.525
1996.928,10.6625
1996.931,10.5875
1996.933,10.65
1996.936,10.525
1996.939,10.325
1996.942,10.2625
1996.944,10.1375
1996.947,10.1875
1996.950,10.2875
1996.953,10.475
1996.956,10.4625
1996.958,10.4125
1996.961,10.15
1996.964,10.0375
1996.967,10.2125
1996.969,10.275
1996.972,10.6
1996.975,10.7
1996.978,10.6875
1996.981,10.5875
1996.983,10.4625
1996.986,10.325
1996.989,9.9625
1996.992,10.0375
1996.994,9.975
1996.997,9.9
1997.000,9.675
1997.000,9.5625
1997.003,9.5875
1997.006,9.4875
1997.008,9.25
1997.011,9.175
1997.014,9.025
1997.017,8.775
1997.019,8.65
1997.022,8.675
1997.025,8.5125
1997.028,8.55
1997.031,8.575
1997.033,8.5
1997.036,8.5375
1997.039,8.5375
1997.042,8.5125
1997.044,8.4625
1997.047,8.4125
1997.050,8.3375
1997.053,8.025
1997.056,8.05
1997.058,8.0875
1997.061,8.1625
1997.064,8.1625
1997.067,8.0875
1997.069,8.1375
1997.072,8.025
1997.075,8.075
1997.078,8.1375
1997.081,8.25
1997.083,8.3
1997.083,8.1875
1997.086,8.175
1997.089,8.075
1997.092,7.975
1997.094,8
1997.097,7.9875
1997.100,8.0375
1997.103,8.0875
1997.106,8.125
1997.108,8.175
1997.111,8.05
1997.114,8.0333
1997.117,8
1997.119,8
1997.122,7.9375
1997.125,7.9875
1997.128,8
1997.131,7.875
1997.133,7.7
1997.136,7.6875
1997.139,7.6
1997.142,7.6
1997.144,7.575
1997.147,7.65
1997.150,7.55
1997.153,7.6
1997.156,7.6
1997.158,7.575
1997.167,7.6125
1997.169,7.6625
1997.172,7.575
1997.181,7.6
1997.183,7.6
1997.186,7.6
1997.189,7.6
1997.192,7.6
1997.194,7.6
1997.197,7.6
1997.200,7.6
1997.203,7.6
1997.206,7.6
1997.208,7.6
1997.211,7.6
1997.214,7.6
1997.217,7.6
1997.219,7.6
1997.222,7.6
1997.225,7.6
1997.228,7.6
1997.231,7.6
1997.233,7.6
1997.236,7.6
1997.239,7.6
1997.242,7.5875
1997.244,7.525
1997.247,7.5125
1997.250,7.5875
1997.250,7.55
1997.253,7.475
1997.256,7.4625
1997.258,7.4625
1997.261,7.5
1997.264,7.85
1997.267,7.525
1997.269,7.5125
1997.272,7.5125
1997.275,7.525
1997.278,7.5375
1997.281,7.5375
1997.283,7.55
1997.286,7.575
1997.289,7.575
1997.292,7.6
1997.294,7.6
1997.297,7.6
1997.300,7.6
1997.303,7.6
1997.306,7.6
1997.308,7.6
1997.311,7.6
1997.314,7.6
1997.317,7.6
1997.319,7.6
1997.322,7.6
1997.325,7.7
1997.328,7.6375
1997.331,7.7125
1997.333,7.7375
1997.336,7.6875
1997.339,7.65
1997.342,7.675
1997.344,7.625
1997.347,7.7
1997.350,7.7625
1997.353,7.8
1997.356,7.825
1997.358,7.875
1997.361,8.6375
1997.364,8.9
1997.367,8.9
1997.369,8.9
1997.372,8.8667
1997.375,8.8125
1997.378,8.775
1997.381,8.725
1997.383,8.7375
1997.386,8.6
1997.389,8.4875
1997.392,8.5625
1997.394,8.7
1997.397,8.5625
1997.400,8.5125
1997.403,8.35
1997.406,8.1375
1997.408,8.125
1997.411,8.2
1997.414,8.1375
1997.417,8.2
1997.417,8.225
1997.419,8.1625
1997.422,8.275
1997.425,8.36
1997.428,8.3875
1997.431,8.425
1997.433,8.4375
1997.436,8.5
1997.439,8.5125
1997.442,8.525
1997.444,8.5625
1997.447,8.575
1997.450,8.5875
1997.453,8.8
1997.456,9.0375
1997.458,9.125
1997.461,9.225
1997.464,9.1875
1997.467,9.1125
1997.469,9.025
1997.472,9.0625
1997.475,9.7125
1997.478,9.9875
1997.481,9.6125
1997.483,9.575
1997.486,9.475
1997.489,9.5
1997.492,9.725
1997.494,10.45
1997.497,10.6625
1997.500,10.8875
1997.503,11.5125
1997.506,11.6
1997.508,11.7125
1997.511,11.6625
1997.514,11.65
1997.517,11.65
1997.519,11.6375
1997.522,11.55
1997.525,11.2125
1997.528,11.325
1997.531,11.4875
1997.533,11.5625
1997.536,11.625
1997.539,11.65
1997.542,11.525
1997.544,10.8375
1997.547,10.725
1997.550,10.9
1997.553,11.025
1997.556,11.0375
1997.558,11.0375
1997.561,11.0625
1997.564,11.0875
1997.567,11.175
1997.569,11.2125
1997.572,11.1375
1997.575,11.1125
1997.578,11.125
1997.581,11.2875
1997.583,11.15
1997.583,11.225
1997.586,11.65
1997.589,11.7
1997.592,11.7125
1997.594,11.7125
1997.597,11.7375
1997.600,11.7625
1997.603,11.75
1997.606,11.6875
1997.608,11.6667
1997.611,11.625
1997.614,11.575
1997.617,11.5625
1997.619,11.6375
1997.622,11.7375
1997.625,12.175
1997.628,12.35
1997.631,12.2625
1997.633,12.3375
1997.636,12.4
1997.639,12.2875
1997.642,12.3625
1997.644,12.3
1997.647,12.3625
1997.650,12.6375
1997.653,12.6625
1997.656,12.6625
1997.658,12.6375
1997.661,12.4375
1997.664,12.475
1997.667,12.6125
1997.667,12.675
1997.669,12.4875
1997.672,12.4625
1997.675,12.45
1997.678,12.4375
1997.681,12.5125
1997.683,12.5
1997.686,12.6375
1997.689,12.975
1997.692,13.1625
1997.694,13.225
1997.697,13.3
1997.700,13.2875
1997.703,13.3125
1997.706,12.9625
1997.708,12.8
1997.711,13.4125
1997.714,13.5875
1997.717,13.6375
1997.719,13.6625
1997.722,13.675
1997.725,13.7
1997.728,13.6125
1997.731,13.625
1997.733,13.7625
1997.736,13.875
1997.739,13.775
1997.742,13.875
1997.744,13.5375
1997.747,13.35
1997.750,13.525
1997.753,13.6875
1997.756,13.85
1997.758,14.0375
1997.761,13.875
1997.764,13.625
1997.767,13.7375
1997.769,13.8
1997.772,13.925
1997.775,13.9375
1997.778,14.125
1997.781,14.1625
1997.783,14.075
1997.786,14.0375
1997.789,13.975
1997.792,13.85
1997.794,13.7875
1997.797,13.8875
1997.800,13.9875
1997.803,13.9625
1997.806,13.85
1997.808,13.775
1997.811,13.725
1997.814,13.7
1997.817,13.6875
1997.819,13.6375
1997.822,13.6
1997.825,13.525
1997.828,13.4375
1997.831,13.3875
1997.833,13.4125
1997.833,13.4125
1997.836,13.3625
1997.839,13.4125
1997.842,13.3125
1997.844,13.275
1997.847,13.2875
1997.850,13.25
1997.853,13.2375
1997.856,13.2
1997.858,13.1875
1997.861,13.1
1997.864,13.025
1997.867,13.1125
1997.869,13.3
1997.872,13.225
1997.875,13.0375
1997.878,13.15
1997.881,13.2
1997.883,13.1875
1997.886,13.5375
1997.889,13.5875
1997.892,13.65
1997.894,13.6375
1997.897,13.5875
1997.900,13.4875
1997.903,13.4875
1997.906,13.4875
1997.908,13.4375
1997.911,13.4125
1997.914,13.3375
1997.917,13.3
1997.919,13.2
1997.922,13.1875
1997.925,13.15
1997.928,13.0875
1997.931,13
1997.933,12.9875
1997.936,12.9
1997.939,12.775
1997.942,12.75
1997.944,12.7
1997.947,12.6125
1997.950,12.5625
1997.953,12.5625
1997.956,12.5125
1997.958,12.45
1997.961,12.375
1997.964,12.2125
1997.967,12.225
1997.969,12.1875
1997.972,12.1125
1997.975,11.9125
1997.978,11.5625
1997.981,11.4375
1997.983,11.3875
1997.986,11.3125
1997.989,11.05
1997.992,11.15
1997.994,11.075
1997.997,11.15
1998.000,11.325
1998.000,11.225
1998.003,11.1125
1998.006,10.875
1998.008,10.8
1998.011,10.725
1998.014,10.7
1998.017,10.725
1998.019,10.7
1998.022,10.7
1998.025,10.725
1998.028,10.7
1998.031,10.7625
1998.033,10.7125
1998.036,10.6375
1998.039,10.4875
1998.042,10.525
1998.044,10.5875
1998.047,10.6125
1998.050,10.5375
1998.053,10.525
1998.056,10.5
1998.058,10.3
1998.061,10.2375
1998.064,10.1875
1998.067,10.1875
1998.069,10.125
1998.072,10.1125
1998.075,10.125
1998.078,10.05
1998.081,10
1998.083,9.9625
1998.083,10.0625
1998.086,10.0833
1998.097,10
1998.100,9.975
1998.103,10
1998.106,9.9875
1998.108,9.95
1998.111,9.7625
1998.114,9.7
1998.117,9.65
1998.119,9.725
1998.122,9.5375
1998.125,9.575
1998.128,9.5375
1998.131,9.575
1998.133,9.5375
1998.136,9.5875
1998.139,9.6125
1998.142,9.5375
1998.144,9.4875
1998.147,9.5
1998.150,9.5
1998.153,9.4
1998.156,9.375
1998.158,9.4
1998.167,9.25
1998.169,8.975
1998.172,8.975
1998.175,9
1998.178,9
1998.181,8.975
1998.183,9
1998.186,9.0125
1998.189,9.0875
1998.192,9.1875
1998.194,9.0875
1998.197,9.025
1998.200,9.1
1998.203,9.1625
1998.206,9.1875
1998.208,9.1375
1998.211,9.1
1998.214,9.125
1998.217,9.1375
1998.219,9.175
1998.222,9.1875
1998.225,9.15
1998.228,9.05
1998.231,9.0125
1998.233,9.025
1998.236,9.0375
1998.239,9.125
1998.242,9.1125
1998.244,9.1125
1998.247,9.15
1998.250,9.2
1998.253,9.2
1998.256,9.2
1998.258,9.2
1998.261,9.4125
1998.264,9.475
1998.267,9.45
1998.269,9.4125
1998.272,9.3
1998.275,9.35
1998.278,9.275
1998.281,9.2125
1998.283,9.2
1998.286,9.2125
1998.289,9.2
1998.292,9.2
1998.294,9.2
1998.297,9.2
1998.300,9.2
1998.303,9.2625
1998.306,9.2875
1998.308,9.25
1998.311,9.2
1998.314,9.2
1998.317,9.2
1998.319,9.2
1998.322,9.2
1998.325,9.2
1998.328,9.2
1998.331,9.2
1998.333,9.2
1998.336,9.2
1998.339,9.2
1998.342,9.2
1998.344,9.2125
1998.347,9.2
1998.350,9.2
1998.353,9.2
1998.356,9.2
1998.358,9.2
1998.361,9.2
1998.364,9.4
1998.367,9.1
1998.369,9.1
1998.372,9.1125
1998.375,9.125
1998.378,9.175
1998.381,9.2
1998.383,9.2
1998.386,9.2
1998.389,9.2
1998.392,9.2
1998.394,9.2
1998.397,9.2
1998.400,9.2
1998.403,9.2
1998.406,9.2
1998.408,9.2625
1998.411,9.35
1998.414,9.3125
1998.417,9.375
1998.417,9.5
1998.419,9.425
1998.422,9.5
1998.425,9.5
1998.428,9.45
1998.431,9.4625
1998.433,9.4875
1998.436,9.525
1998.439,9.5375
1998.442,9.55
1998.444,9.6375
1998.447,9.7375
1998.450,10.025
1998.453,10.1625
1998.456,10.25
1998.458,10.4125
