Station Description:,Central Skagerrak,
Region:,9,
Latitude:,57.9333 N,
Longitude:,9.4500 E,
Measurement Depth/Range:,Deep-water,100-200m
Notes:,Skagerrak deep-water properties, Atlantic inflow north of Jutland (100-200m).
Data Source:,IMR - Institute of Marine Research - Norway,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),
Location of source datasets:,IMR - Institute of Marine Research - Norway,
Data Protection:,Include on ICES website for free distribution.,
Decimal Year,Temperature C,Salinity
1952.0417,6.81,34.905
1952.125,,
1952.2083,,
1952.2917,,
1952.375,5.94,35.1
1952.4583,,
1952.5417,,
1952.625,6.85,34.84
1952.7083,,
1952.7917,,
1952.875,8.38,34.99
1952.9583,,
1953.0417,,
1953.125,6.85,34.99
1953.2083,6.245,35.08
1953.2917,,
1953.375,6.515,34.975
1953.4583,,
1953.5417,,
1953.625,,
1953.7083,,
1953.7917,,
1953.875,7.92,35.05
1953.9583,,
1954.0417,,
1954.125,,
1954.2083,,
1954.2917,,
1954.375,,
1954.4583,,
1954.5417,,
1954.625,6.985,35.055
1954.7083,,
1954.7917,7.295,35.06
1954.875,8.56,34.74
1954.9583,,
1955.0417,7.705,35.165
1955.125,,
1955.2083,,
1955.2917,5.93,34.85
1955.375,,
1955.4583,6.235,35.14
1955.5417,,
1955.625,6.65,34.99
1955.7083,,
1955.7917,,
1955.875,,
1955.9583,,
1956.0417,,
1956.125,6.35,34.7
1956.2083,,
1956.2917,,
1956.375,,
1956.4583,5.52,35.1
1956.5417,,
1956.625,5.93,35.12
1956.7083,6.34,35.23
1956.7917,,
1956.875,,
1956.9583,7.91,34.7
1957.0417,7.04,34.72
1957.125,,
1957.2083,6.19,35.19
1957.2917,,
1957.375,,
1957.4583,,
1957.5417,,
1957.625,,
1957.7083,7.6,35.14
1957.7917,,
1957.875,,
1957.9583,,
1958.0417,,
1958.125,,
1958.2083,4.035,34.875
1958.2917,6.46,35.09
1958.375,5.293,35.07
1958.4583,5.68,35.19
1958.5417,,
1958.625,,
1958.7083,,
1958.7917,,
1958.875,7.11,35.12
1958.9583,,
1959.0417,6.74,34.95
1959.125,,
1959.2083,,
1959.2917,6.115,35.145
1959.375,6.255,35.115
1959.4583,,
1959.5417,,
1959.625,8.065,35.23
1959.7083,7.92,35.2
1959.7917,,
1959.875,8.125,35.16
1959.9583,,
1960.0417,8.125,35.025
1960.125,,
1960.2083,6.64,35.1
1960.2917,6.325,34.9
1960.375,,
1960.4583,6.785,35.203
1960.5417,,
1960.625,,
1960.7083,7.37,35.185
1960.7917,,
1960.875,,
1960.9583,7.195,35.091
1961.0417,7.205,34.993
1961.125,5.325,34.919
1961.2083,,
1961.2917,7.085,35.174
1961.375,,
1961.4583,7.05,35.092
1961.5417,,
1961.625,7.555,35.05
1961.7083,,
1961.7917,,
1961.875,,
1961.9583,,
1962.0417,6.12,34.782
1962.125,,
1962.2083,,
1962.2917,,
1962.375,,
1962.4583,6.375,35.106
1962.5417,,
1962.625,,
1962.7083,7.105,35.114
1962.7917,7.395,35.23
1962.875,,
1962.9583,8.54,34.874
1963.0417,5.815,35.065
1963.125,,
1963.2083,,
1963.2917,3.305,34.825
1963.375,4.18,34.963
1963.4583,5.2,35.062
1963.5417,5.04,35.036
1963.625,,
1963.7083,,
1963.7917,7.18,35.121
1963.875,,
1963.9583,,
1964.0417,,
1964.125,,
1964.2083,,
1964.2917,5.64,35.103
1964.375,,
1964.4583,6.32,35.203
1964.5417,6.395,35.188
1964.625,6.68,35.124
1964.7083,7.53,35.011
1964.7917,,
1964.875,,
1964.9583,,
1965.0417,7.595,35.079
1965.125,,
1965.2083,6.66,35.079
1965.2917,6.66,35.16
1965.375,6.37,35.144
1965.4583,6.365,35.14
1965.5417,,
1965.625,6.82,35.136
1965.7083,6.955,35.187
1965.7917,7.01,35.162
1965.875,,
1965.9583,7.08,34.974
1966.0417,,
1966.125,,
1966.2083,4.54,34.896
1966.2917,,
1966.375,,
1966.4583,6.065,35.129
1966.5417,,
1966.625,7.55,35.074
1966.7083,6.395,35.031
1966.7917,,
1966.875,6.5,35.105
1966.9583,6.985,35.087
1967.0417,6.745,34.925
1967.125,,
1967.2083,5.89,34.919
1967.2917,,
1967.375,5.96,35.135
1967.4583,,
1967.5417,6.935,35.21
1967.625,7.345,35.207
1967.7083,,
1967.7917,8.485,35.166
1967.875,,
1967.9583,8.465,34.931
1968.0417,5.815,34.991
1968.125,,
