# Index:,NWES_005
# Station Description:,38a Oceanographic Mooring
# Region Code:,NWES
# Latitude:,53.783 N
# Longitude:,5.625 W
# Detailed Location (WKT):,
# Measurement Depth/Range:,Surface
# Sampling Frequency:,3-hourly
# Data Source:,AFBI Northern Ireland
# Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk)
# Notes:,SBE56 sensor
# Reference:,
# DOI:,
# Website:,
Decimal Year,Temperature °C
1996.29435,7.7375
1996.297082,7.7
1996.299814,7.8
1996.302546,8.0625
1996.305279,8.025
1996.308011,7.9375
1996.310743,8.025
1996.313475,7.9125
1996.316208,8.0375
1996.31894,8.2625
1996.321672,8.5125
1996.324404,8.575
1996.327137,8.575
1996.329869,8.6875
1996.332601,8.5875
1996.335333,8.125
1996.338066,8.2
1996.340798,8.5125
1996.34353,8.8
1996.346262,8.9
1996.348995,8.9875
1996.351727,8.85
1996.354459,8.5667
1996.357191,9.899346154
1996.359923,9.955083333
1996.362656,10.11471154
1996.365388,10.25098077
1996.36812,9.775
1996.370852,9.5625
1996.373585,9.5625
1996.376317,9.45
1996.379049,9.65
1996.381781,9.2
1996.384514,8.9
1996.387246,9.1
1996.389978,9.175
1996.39271,9.175
1996.395443,9.4125
1996.398175,9.6625
1996.400907,9.8
1996.403639,9.95
1996.406372,9.9
1996.409104,9.925
1996.411836,9.9875
1996.414568,9.825
1996.417301,10.075
1996.420033,10.3375
1996.422765,10.175
1996.425497,10.125
1996.42823,10.1625
1996.430962,10.7125
1996.433694,11.2
1996.436426,10.95
1996.439158,10.7625
1996.441891,10.875
1996.444623,10.875
1996.447355,11.2
1996.450087,12.025
1996.45282,12.6625
1996.455552,13.175
1996.458284,13.9875
1996.461016,13.9
1996.463749,13.0125
1996.466481,12.2
1996.469213,11.375
1996.471945,11.675
1996.474678,11.5375
1996.47741,11.75
1996.480142,11.775
1996.482874,12.3875
1996.485607,12.7375
1996.488339,12.975
1996.491071,12.5625
1996.493803,12.275
1996.496536,12.425
1996.499268,12.4125
1996.502,12.4375
1996.504732,12.575
1996.507464,12.45
1996.510197,12.3125
1996.512929,12.3125
1996.515661,12.3625
1996.518393,12.4125
1996.521126,12.675
1996.523858,13.025
1996.52659,13.25
1996.529322,13.2375
1996.532055,13.475
1996.534787,13.7875
1996.537519,13.6625
1996.540251,13.6625
1996.542984,14.175
1996.545716,14.6125
1996.548448,14.625
1996.55118,15.05
1996.553913,15.05
1996.556645,15.0375
1996.559377,15.2375
1996.562109,14.9875
1996.564842,14.95
1996.567574,15.15
1996.570306,15.0875
1996.573038,15.1375
1996.57577,14.925
1996.578503,14.9
1996.581235,14.775
1996.583967,14.7875
1996.586699,14.675
1996.589432,14.6625
1996.592164,14.4625
1996.594896,14.6375
1996.597628,14.475
1996.600361,14.25
1996.603093,14.2
1996.605825,14.025
1996.608557,14.175
1996.61129,14.35
1996.614022,13.9
1996.616754,13.3625
1996.619486,13.425
1996.622219,13.4125
1996.624951,13.4125
1996.627683,14.0875
1996.630415,14.8875
1996.633148,15.2375
1996.63588,14.9875
1996.638612,14.725
1996.641344,14.5625
1996.644077,14.675
1996.646809,14.7
1996.649541,14.625
1996.652273,14.3875
1996.655005,13.7125
1996.657738,14.0875
1996.66047,13.9875
1996.663202,13.85
1996.665934,13.75
1996.668667,13.825
1996.671399,14.025
1996.674131,14.125
1996.676863,14.2875
1996.679596,14.3875
1996.682328,14.3
1996.68506,14.1125
1996.687792,14
1996.690525,14.1125
1996.693257,14.425
1996.695989,14.5125
1996.698721,14.78290481
1996.701454,14.69012692
1996.704186,14.64310769
1996.706918,14.6642125
1996.70965,14.63501731
1996.712383,14.59494519
1996.715115,14.54875192
1996.717847,14.50433269
1996.720579,14.47599135
1996.723311,14.47846763
1996.726044,14.46943782
1996.728776,14.43730224
1996.731508,14.40724968
1996.73424,14.36119808
1996.736973,14.33074135
1996.739705,14.31247276
1996.742437,14.27803173
1996.745169,14.26240385
1996.747902,14.21953462
1996.750634,14.18962981
1996.753366,14.15045865
1996.756098,14.11449135
1996.758831,13.87989038
1996.761563,13.95699712
1996.764295,13.87979519
1996.767027,13.89360192
1996.76976,13.97663654
1996.772492,13.99489423
1996.775224,13.95820577
1996.777956,13.92062692
1996.780689,13.88805192
1996.783421,13.88011346
1996.786153,13.85764231
1996.788885,13.82685865
1996.791617,13.79624712
1996.79435,13.75860769
1996.797082,13.7530125
1996.799814,13.73975192
1996.802546,13.70641058
1996.805279,13.65142885
1996.808011,13.62605288
1996.810743,13.61037692
1996.813475,13.56958846
1996.816208,13.54786827
1996.81894,13.52707404
1996.821672,13.47562212
1996.824404,13.45167404
1996.827137,13.420225
1996.829869,13.39220673
1996.832601,13.36399519
1996.835333,13.33385833
1996.838066,13.30025865
1996.840798,13.26855288
1996.84353,13.22981346
1996.846262,13.21940096
1996.848995,13.19142404
1996.851727,13.16758333
1996.854459,13.13453558
1996.857191,13.06722981
1996.859923,13.00122115
1996.862656,12.95786731
1996.865388,12.93359519
1996.86812,12.92035962
1996.870852,12.92772885
1996.873585,12.9136875
1996.876317,12.85208077
